GPD #,Data Type,SiteName,LatDD,LonDD,Rate of Change Symbol,Citation
5,Pollen,Alfies Lake,47.88,-84.87,,"(Saarnisto, 1975)"
728,Pollen,Allie Lake,44.8,-93.56,,"J. H. McAndrews, unpub."
906,Pollen,Almora Lake,46.21,-95.29,0,"(Digerfeldt et al., 1992)"
377,Pollen,Anderson Lake,46.42,-92.72,,"(Wright and Watts, 1969)"
8,Pollen,Anderson Pond,36.03,-85.5,,"(Delcourt, 1979)"
309,Pollen,Andree Bog,45.72,-93.25,,"(Cushing, 1967)"
912,Pollen,Andrus Lake,46.7,-85.04,,"(Kingston et al., 1990)"
1333,Pollen,Antelope Playa,43.5,-105.45,-1,"(Markgraf and Lennon, 1986)"
9,Pollen,Antoine Lake,47.73,-84.9,,"(Saarnisto, 1975)"
3172,Pollen,Arrington Marsh,39.49,-95.53,,"(Grüger, 1973)"
11,Pollen,Attawapiskat Lake,53,-85.17,,"(Terasmae, 1969)"
730,Pollen,Bad Medicine Lake,47.13,-95.38,,"(McAndrews, 1966)"
823,Pollen,Beaver Lake [Wyoming],44.18,-107.26,-1,"(Burkart, 1976)"
1546,Pollen,Bechan Cave,38,-111,,"(Davis, 1990)"
909,Pollen,Beckman Lake,45.42,-93.18,-3,"(Swain, 1979)"
1100,Pollen,Beckman Lake,45.42,-93.18,,"(Swain, 1979)"
2293,Pollen,Beef Pasture,37.42,-108.15,,"(Petersen, 1985)"
839,Pollen,Big John Pond,47.56,-94.97,-2,"(Almendinger, 1992)"
23,Pollen,Billy's Lake,46.28,-94.58,2,"(Jacobson, 1979)"
731,Pollen,Black Bass Lake,46.13,-93.7,,"J. H. McAndrews, unpub."
1260,Pollen,Blackhoof Site,46.5,-92.57,,"(Wasylikowa and Wright, 1970)"
24,Pollen,Blackington Lake,47.9,-84.87,,"(Saarnisto, 1975)"
528,Pollen,Blacktail Pond,44.96,-110.6,0,"(Gennett and Baker, 1986)"
1087,Pollen,Blandin Pond,47.13,-93.67,,"(Alwin, 1982)"
26,Pollen,Blue Mounds Creek,43.08,-89.87,0,"(Davis, 1977)"
732,Pollen,Bob Lake,46.63,-92.61,,"J. H. McAndrews, unpub."
27,Pollen,Bog D,47.18,-95.17,2,"(McAndrews, 1966)"
28,Pollen,Boney Spring,38.11,-93.37,,"(King, 1973)"
587,Pollen,Bossuot Lake,44.3,-93.73,,"(McAndrews, 1968)"
916,Pollen,Brown Lake [US:Wisconsin],45.78,-89.48,,"(Kingston et al., 1990)"
966,Pollen,"Brown's Bay, Lake Minnetonka",44.97,-93.55,,"(Murchie, 1984)"
446,Pollen,Buckbean Fen,44.3,-110.26,-3,"(Baker, 1976)"
1340,Pollen,Burntside Lake,47.92,-91.99,,"H. E. Wright, unpub."
37,Pollen,Cahaba Pond,33.5,-86.53,,"(Delcourt et al., 1983)"
39,Pollen,Camp 11 Lake,46.67,-88.02,,"(Brubaker, 1975)"
919,Pollen,Camp 12 Lake,45.99,-89.38,,"(Kingston et al., 1990)"
588,Pollen,Campbell Lake,44.71,-93.5,,"(McAndrews, 1968)"
3181,Pollen,Canyon Lake,46.83,-87.92,,"(Davis, 1978)"
1144,Pollen,Cascade Fen,37.48,-107.8,-2,"(Maher, 1961)"
910,Pollen,Cedar Bog Lake,45.41,-93.2,2,"(Cushing, 1967)"
47,Pollen,Chatsworth Bog,40.68,-88.34,-1,"(King, 1981)"
868,Pollen,Cheyenne Bottoms,38.47,-98.67,-1,"(Fredlund, 1995)"
44,Pollen,Chippewa Bog,43.12,-83.24,,"(Bailey and Ahearn, 1981)"
734,Pollen,Cindy Pond,47.18,-94.92,,"(McAndrews, 1966)"
50,Pollen,Clear Lake,41.65,-86.53,1,"(Bailey, 1972)"
691,Pollen,Clear Lake [Iowa],43.15,-93.35,-1,"(Baker et al., 1992)"
51,Pollen,Clearwater Lake,50.87,-107.93,,"(Mott, 1973)"
52,Pollen,Colo Marsh,42.02,-93.27,2,"(Baker et al., 1990)"
1147,Pollen,Columbine Ranch Fen,37.61,-107.81,-2,"(Maher, 1961)"
880,Pollen,Como Lake,37.55,-105.5,-1,"(Jodry et al., 1989)"
473,Pollen,Cottonwood Lake,44.84,-99.91,-1,"(Barnosky et al., 1987)"
735,Pollen,Cottonwood Lake [Minnesota],45.76,-96.02,,"J. H. McAndrews, unpub."
1310,Pollen,Crane Lake,36.72,-112.22,,"(Shafer, 1989)"
58,Pollen,Crates Lake,49.18,-81.27,,"K.-B. Liu, unpub."
736,Pollen,Crazy Pond,47.18,-95.73,,"J. H. McAndrews, unpub."
427,Pollen,Cristal Lake,52.12,-90.08,,"(Björk, 1985)"
1152,Pollen,Crowfoot Lake,51.65,-116.42,,"(Reasoner et al., 1994)"
61,Pollen,Crozier Lake,47.9,-84.87,,"(Saarnisto, 1975)"
1159,Pollen,Cub Creek Pond,44.49,-110.28,-1,"(Waddington and Wright, 1974)"
63,Pollen,Cub Lake,44.7,-85.96,,"(Rasmussen, 1982)"
883,Pollen,Cub Lake [Idaho],44.12,-111.18,-1,"(Baker, 1983)"
790,Pollen,Cummins Pond,48.41,-89.35,,"(Julig et al., 1990)"
64,Pollen,Cupola Pond,36.8,-91.1,,"(Smith, 1984)"
65,Pollen,Cycloid Lake,55.27,-105.27,2,"(Mott, 1973)"
858,Pollen,Cygnet Lake Fen,44.65,-110.6,-1,"(Whitlock, 1993)"
737,Pollen,Dalton Lake,46.17,-95.92,,"J. H. McAndrews, unpub."
66,Pollen,Dark Lake,45.28,-91.48,,"(Gajewski et al., 1985)"
70,Pollen,Demont Lake,43.48,-85,,"R. O. Kapp, unpub."
917,Pollen,Denton Lake,45.85,-89.32,,"(Kingston et al., 1990)"
71,Pollen,Devils Lake [North Dakota],48.08,-98.93,,"J. H. McAndrews, unpub."
72,Pollen,Devils Lake [Wisconsin],43.42,-89.73,0,"(Maher, 1982)"
75,Pollen,Disterhaft Farm Bog,43.92,-89.17,1,"(Baker, 1970)"
1160,Pollen,Disterhaft Farm Bog,43.92,-89.17,0,"(Baker, 1970; West, 1961)"
859,Pollen,Divide Lake,43.93,-110.23,0,"(Whitlock, 1993)"
1338,Pollen,Dogfish Lake,48.18,-92.18,,"J. C. B. Waddington, unpub."
1311,Pollen,Dome Creek Meadow,40.02,-107.05,-1,"(Feiler et al., 1997)"
915,Pollen,Dunnigan Lake,47.71,-91.64,,"(Kingston et al., 1990)"
216,Pollen,E Lake,50.72,-99.65,2,"(Ritchie, 1969)"
738,Pollen,East Twin Lake [Minnesota],45.33,-93.51,,"J. H. McAndrews, unpub."
589,Pollen,Eggert Lake,44.47,-93.62,,"(McAndrews, 1968)"
1146,Pollen,Eldora Fen,39.94,-105.58,-2,"L. J. Maher, unpub."
,Pollen,Elk Lake,47.2,-95.25,2,"(Whitlock et al., 1993)"
860,Pollen,Emerald Lake,44.07,-110.3,-1,"(Whitlock, 1993)"
739,Pollen,Faith Pond,47.28,-95.1,,"(McAndrews, 1966)"
861,Pollen,Fallback Lake,43.97,-110.43,,"(Whitlock, 1993)"
590,Pollen,Farquar Lake,44.76,-93.17,,"(McAndrews, 1968)"
740,Pollen,Fawn Lake,46.22,-94.75,,"J. H. McAndrews, unpub."
468,Pollen,Floating Island Lake,44.55,-107.47,-1,"(Burkart, 1976)"
469,Pollen,Floating Island Lake,44.55,-107.47,,"(Burkart, 1976)"
1970,Pollen,Forest Lake,46.45,-112.17,-1,"(Brant, 1980)"
3490,Pollen,Forest Pond 1,43.47,-109.94,-1,"(Lynch, 1998)"
3491,Pollen,Forest Pond 2,43.44,-109.95,-1,"(Lynch, 1998)"
741,Pollen,Fox Pond,47.16,-95.56,,"(McAndrews, 1969)"
87,Pollen,Frains Lake,42.33,-83.63,,"(Kerfoot, 1974)"
1312,Pollen,Frying Pan Lake,38.62,-111.67,,"(Shafer, 1989)"
1063,Pollen,Furnival Lake,48.21,-84.93,,"J. H. McAndrews, unpub."
884,Pollen,Gardiner's Hole,44.92,-110.73,-1,"(Baker, 1983)"
92,Pollen,Gass Lake,44.05,-87.73,1,"(Webb, 1983)"
742,Pollen,George Lake,44.23,-93.87,,"J. H. McAndrews, unpub."
94,Pollen,Glenboro Lake Site,49.43,-99.28,1,"(Ritchie and Lichti-Federovich, 1968)"
1267,Pollen,Goff Lake,44.45,-109.84,,"H. E. Wright, unpub."
743,Pollen,Goldsmith Lake,46.58,-92.47,,"J. H. McAndrews, unpub."
96,Pollen,Grand Rapids,53,-98.25,,"(Ritchie and Hadden, 1975)"
99,Pollen,Green Lake,44.88,-85.12,,"(Lawrenz, 1975)"
