# GPD ASCII Format
# 24 Apr 00
# Raw Counts - All Pollen Types
#
# ****************************************************************
# ** Please acknowledge the contributors and the North American **
# ** Pollen Database when using these data.                     **
# ****************************************************************
#
# Site name:      Anderson Pond
# Place:          USA:Tennessee
# Latitude:       36.02.00N      (  36.033333)
# Longitude:      85.30.00W      ( -85.5     )
# Elevation(m):   305
# Sigle:          ANDERSON
# Entity name:    APT 76-B
# Contact person: Delcourt, H.R.
#
# Radiocarbon dates:
#   Depth   Thk     Age   SDup   SDlo  Lab no.    Basis  Material
#    63.0     6     -10    100    100  A-1820       G    fibrous, slightly silt
#   106.0     5    5610    110    110  A-1821       G    slightly silty clay
#   126.0     5    8930    160    160  A-1869       G    slightly silty clay
#   150.0    12   12540    180    180  A-1870       G    slightly silty clay
#   210.0    14   12750    220    220  A-1871       G    slightly silty clay
#   314.5    13   15310    420    420  A-1872       G    silty clay
#   428.0    14   16230    300    300  A-1822       G    slightly silty clay
#   601.0    12   18300   1300   1300  A-1873       G    slightly sandy silty c
#   693.5    13   18760    320    320  A-1823       G    slightly sandy silty c
#   973.5    15   25000   3000   3000  A-1874       G    clayey sandy silt
#
# Chron name:     COHMAP chron# 1
# Age model:      linear interpolation
# Age bounds:     0 - 24000
# Chron notes:    10 C-14 dates with -10 100 yr bp date at 37 cm not included.
#                 Ragweed rise at 37cm. 9m of sediments with post-glacial in
#                 upper 1.5m. Nonlinear sedimentation. H.Delcourt (1979, Ecol.
#                 Monogr.). Age bounds for application of the model: top = 0;
#                 bottom = 24000.
#
# Age basis:
#   Depth   Thk     Age  AgeUp  AgeLo  RCode
#    25.0           -26     -6    -46   TOP
#    62.0           160    210    110   AMR
#   106.0          5610   5720   5500   C14
#   126.0          8930   9090   8770   C14
#   150.0         12540  12720  12360   C14
#   210.0         12750  12970  12530   C14
#   314.5         15310  15730  14890   C14
#   428.0         16230  16530  15930   C14
#   601.0         18300  19600  17000   C14
#   693.5         18760  19080  18440   C14
#   973.5         25000  28000  22000   C14
#
# Publications:   Delcourt, H.R. 1979. Late Quaternary vegetation history of
#                 the eastern Highland Rim and adjacent Cumberland Plateau of
#                 Tennessee. Ecological Monographs 49:255-280.
#
100 60
    1 Abi      A Abies
    2 Ace.ne   A Acer negundo
    3 Ace.ru   A Acer rubrum
    4 Ace.sc-t A Acer saccharinum-type
    5 Ace.sa-t A Acer saccharum-type
    6 Aln      A Alnus
    7 Bet      A Betula
    8 Car      A Carya
    9 Cas      A Castanea
   10 Cel      A Celtis
   11 Cep      A Cephalanthus
   12 Crn      A Cornus
   13 Cor      A Corylus
   14 Cupae    A Cupressaceae
   15 Ercae    A Ericaceae
   16 Fag      A Fagus
   17 Fra.ni-t A Fraxinus nigra-type
   18 Fra.pe-t A Fraxinus pennsylvanica-type
   19 Fra.ud   A Fraxinus undiff.
   20 Ilx      A Ilex
   21 Jug.c    A Juglans cinerea
   22 Jug.n    A Juglans nigra
   23 Jug.ud   A Juglans undiff.
   24 Lei.f    A Leitneria floridana
   25 Liq      A Liquidambar
   26 Mag      A Magnolia
   27 Mor      A Morus
   28 Nys      A Nyssa
   29 Os/Ca    A Ostrya/Carpinus
   30 Prt      A Parthenocissus
   31 Pic      A Picea
   32 Pin.Pi   A Pinus subg. Pinus
   33 Pin.St   A Pinus subg. Strobus
   34 Pin.ud   A Pinus undiff.
   35 Pla      A Platanus
   36 Pop      A Populus
   37 Que      A Quercus
   38 Slx      A Salix
   39 Sam      A Sambucus
   40 She.c    A Shepherdia canadensis
   41 Spi-t    A Spiraea-type
   42 Til      A Tilia
   43 trees.ud A Trees undiff.
   44 Tsu      A Tsuga
   45 Ulm      A Ulmus
   46 Vib      A Viburnum
   47 Vit      A Vitis
   48 Aes      B Aesculus
   49 Amb-t    B Ambrosia-type
   50 Apiae    B Apiaceae
   51 Art      B Artemisia
   52 Astae.Au B Asteraceae subf. Asteroideae undiff.
   53 Bid-t    B Bidens-type
   54 Cryae    B Caryophyllaceae
   55 Cer      B Cerealia
   56 Ch/Am    B Chenopodiaceae/Amaranthaceae
   57 Cypae    B Cyperaceae
   58 Dal      B Dalea
   59 herbs.ud B Herbs undiff.
   60 Iva.a-t  B Iva annua-type
   61 Iva.x-t  B Iva xanthifolia-type
   62 Lamae    B Lamiaceae
   63 Ongae    B Onagraceae
   64 Pln.ma   B Plantago major
   65 Poaae.ud B Poaceae undiff.
   66 Pol      B Polygonum
   67 Ptl-t    B Potentilla-type
   68 Pr/So    B Prunus/Sorbus
   69 Rbs      B Rubus
   70 San      B Sanguisorba
   71 Saxae    B Saxifragaceae
   72 Tha      B Thalictrum
   73 Xan      B Xanthium
   74 Drp-t    F Dryopteris-type
   75 Equ      F Equisetum
   76 Lyc.cl   F Lycopodium clavatum
   77 Osu      F Osmunda
   78 Plp-t    F Polypodium-type
   79 Ptr-t    F Pteridium-type
   80 Spg      M Sphagnum
   81 aquat.ud Q Aquatics undiff.
   82 Brs.s    Q Brasenia schreberi
   83 Iso      Q Isoëtes
   84 Men.t    Q Menyanthes trifoliata
   85 Myp      Q Myriophyllum
   86 Nup      Q Nuphar
   87 Nym      Q Nymphaea
   88 Pot.Po   Q Potamogeton subg. Potamogeton
   89 Pot.ud   Q Potamogeton undiff.
   90 Pro      Q Proserpinaca
   91 Sag      Q Sagittaria
   92 Spa-t    Q Sparganium-type
   93 Typ.l    Q Typha latifolia
   94 sp.t     S Spore (trilete)
   95 ind.co   X Indeterminable (corroded)
   96 ind.de   X Indeterminable (degraded)
   97 ind.hi   X Indeterminable (hidden)
   98 ind.ud   X Indeterminable undiff.
   99 unk      X Unknown
  100 Euc.spik - Eucalyptus spike (number counted)
25, , 0
     0.0     1.0   102.0     0.0     0.0    80.0     4.0    19.0     0.0     6.0
    26.0     0.0     0.0     1.0     0.0     1.0     5.0     1.0     3.0     0.0
     0.0     2.0     1.0     0.0     8.0     0.0     0.0     5.0     4.0     0.0
     0.0     7.0     1.0    19.0     8.0     1.0    95.0     2.0     0.0     0.0
     0.0     0.0     0.0     0.0    12.0     0.0     0.0     0.0    73.0     0.0
     0.0     5.0     0.0     0.0     0.0     2.0     7.0     0.0     0.0     0.0
     1.0     0.0     0.0     0.0    18.0     0.0     0.0     0.0     3.0     0.0
     8.0     0.0     1.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     3.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     1.0     0.0     0.0     0.0     2.0     5.0     0.0    17.0     1.0   285.0
30, , 25
     0.0     0.0   106.0     2.0     0.0    66.0     1.0    15.0     6.0     2.0
    10.0     0.0     0.0     0.0     0.0     0.0     9.0     0.0     2.0     0.0
     0.0     6.0     1.0     0.0     4.0     0.0     0.0     3.0     2.0     0.0
     0.0     8.0     0.0    12.0     3.0     0.0   104.0     7.0     0.0     0.0
     0.0     0.0     0.0     0.0    10.0     1.0     0.0     0.0    65.0     1.0
     0.0     7.0     0.0     0.0     0.0     1.0     2.0     0.0     0.0     0.0
     1.0     0.0     0.0     0.0    13.0     0.0     0.0     0.0     3.0     0.0
     8.0     0.0     0.0     0.0     0.0     1.0     0.0     0.0     0.0     0.0
     1.0     0.0     0.0     0.0     0.0     0.0     0.0     1.0     0.0     0.0
     1.0     0.0     0.0     0.0     1.0     9.0     1.0    23.0     0.0   280.0
35, , 50
     0.0     0.0    24.0     0.0     0.0   317.0     5.0    12.0    15.0     0.0
    48.0     0.0     1.0     0.0     0.0     2.0     6.0     0.0     6.0     0.0
     1.0     2.0     2.0     2.0     6.0     0.0     0.0     1.0     4.0     0.0
     0.0     2.0     0.0    20.0     5.0     0.0   175.0     4.0     0.0     0.0
     0.0     0.0     1.0     0.0     4.0     0.0     0.0     0.0    86.0     0.0
     2.0    15.0     2.0     0.0     0.0     1.0    23.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0    15.0     1.0     0.0     0.0    28.0     0.0
     6.0     0.0     1.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
    24.0     0.0     0.0     0.0     0.0     0.0     0.0     1.0     0.0     0.0
     3.0     0.0     0.0     0.0     0.0    18.0     0.0    58.0     0.0   197.0
40, , 75
     0.0     1.0     8.0     0.0     0.0   336.0     1.0    17.0    18.0     0.0
    70.0     0.0     1.0     0.0     0.0     3.0     5.0     1.0     8.0     1.0
     0.0     1.0     1.0     0.0     3.0     0.0     0.0     2.0     0.0     0.0
     0.0     1.0     0.0    21.0     1.0     0.0   197.0     6.0     0.0     0.0
     0.0     0.0     4.0     1.0     7.0     1.0     1.0     0.0    56.0     1.0
     1.0    10.0     0.0     0.0     1.0     1.0    40.0     0.0     0.0     0.0
     0.0     0.0     0.0     1.0    17.0     2.0     0.0     0.0     6.0     0.0
     9.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
    20.0     0.0     0.0     0.0     0.0     0.0     0.0     4.0     0.0     0.0
     4.0     1.0     0.0     0.0     0.0    10.0     1.0    43.0     1.0   167.0
45, , 100
     0.0     0.0    14.0     0.0     0.0   358.0     3.0    15.0    18.0     0.0
    72.0     0.0     0.0     1.0     0.0     2.0     4.0     2.0    11.0     0.0
     0.0     0.0     2.0     0.0     4.0     0.0     0.0     3.0     5.0     0.0
     0.0     3.0     0.0    21.0     1.0     0.0   192.0    10.0     0.0     0.0
     0.0     0.0     0.0     0.0     4.0     0.0     0.0     0.0    56.0     0.0
     1.0    12.0     1.0     0.0     0.0     2.0    50.0     0.0     0.0     0.0
     1.0     0.0     0.0     0.0    18.0     0.0     0.0     0.0     4.0     0.0
     8.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
    26.0     0.0     0.0     0.0     0.0     0.0     0.0     1.0     0.0     0.0
     2.0     0.0     0.0     0.0     1.0    15.0     1.0    53.0     1.0   187.0
52, , 135
     0.0     1.0    11.0     0.0     0.0   493.0    37.0    11.0    29.0     0.0
   116.0     0.0     0.0     0.0     0.0     3.0     5.0     1.0     7.0     0.0
     2.0     0.0     0.0     0.0     4.0     0.0     0.0     1.0     2.0     0.0
     0.0     0.0     0.0    18.0     1.0     2.0   178.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     8.0     0.0     0.0     0.0    96.0     0.0
     0.0     7.0     1.0     0.0     0.0     0.0    31.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     8.0     3.0     0.0     0.0     5.0     0.0
     7.0     0.0     0.0     1.0     0.0     0.0     0.0     0.0     0.0     0.0
     6.0     0.0     0.0     0.0     1.0     0.0     0.0     5.0     2.0     0.0
     2.0     0.0     1.0     0.0    15.0    59.0     5.0   165.0     1.0   106.0
56, , 155
     0.0     0.0     6.0     0.0     0.0   229.0     3.0    24.0    17.0     0.0
    67.0     0.0     0.0     0.0    20.0     4.0     3.0     2.0    10.0     0.0
     0.0     0.0     2.0     0.0     4.0     0.0     0.0     1.0     1.0     0.0
     0.0     3.0     0.0    18.0     0.0     1.0   187.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     4.0     1.0     0.0     0.0    37.0     0.0
     0.0     0.0     0.0     0.0     1.0     0.0    56.0     0.0     0.0     0.0
     0.0     0.0     0.0     2.0    28.0     1.0     0.0     0.0     0.0     0.0
     7.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     2.0     0.0     0.0     0.0     0.0     0.0     0.0     3.0     0.0     0.0
