# GPD ASCII Format
# 23 Mar 00
# Raw Counts - All Pollen Types
#
# ****************************************************************
# ** Please acknowledge the contributors and the North American **
# ** Pollen Database when using these data.                     **
# ****************************************************************
#
# Site name:      Black Pond
# Place:          USA:Tennessee
# Latitude:       35.37.15N      (  35.620833)
# Longitude:      84.11.12W      ( -84.186667)
# Elevation(m):   262
# Sigle:          BLACKPND
# Entity name:    Core BPT82A
# Contact person: Delcourt, P.A.
#
# Radiocarbon dates:
#   Depth   Thk     Age   SDup   SDlo  Lab no.    Basis  Material
#   202.5    10     430     90     90  A-3064       G    clayey silt with macro
#   264.0    10    2840    150    150  A-2977       G    silty sand
#
# Chron name:     NAPD 1
# Age model:      linear interpolation
# Age bounds:     -30 - 2740
# Chron notes:    Chron uses surface (-32 BP) and two radiocarbon dates
#                 adjusted by 300 yrs, placing the Ambrosia-rise at the time
#                 of European settlement (AD 1820).
#
# Age basis:
#   Depth   Thk     Age  AgeUp  AgeLo  RCode
#     0.0     0     -32      0    -32   TOP
#   202.5    10     130    150    110   AMR
#   264.0    10    2540   2840   2240   CAJ
#
# Publications:   Cridlebaugh, P.A. 1984. American Indian and Euro-American
#                 impact upon Holocene vegetation in the Lower Little
#                 Tennessee River Valley, East Tennessee. Dissertation.
#                 University of Tennessee, Knoxville, Tennessee, USA.
#
#                 Delcourt, P.A., H.R. Delcourt, P.A. Cridlebaugh, and J.
#                 Chapman. 1986. Holocene ethnobotanical and paleoecological
#                 record of human impact on vegetation in the Little Tennessee
#                 River Valley, Tennessee. Quaternary Research 25:330-349.
#
106 43
    1 Ace.ne   A Acer negundo
    2 Ace.ru   A Acer rubrum
    3 Ace.sa   A Acer saccharum
    4 Ace.ud   A Acer undiff.
    5 Aln.i-t  A Alnus incana-type
    6 Bet      A Betula
    7 Car      A Carya
    8 Cas      A Castanea
    9 Cat.s    A Catalpa speciosa
   10 Clsae    A Celastraceae
   11 Ce/Ma-t  A Celtis/Maclura-type
   12 Cep.o    A Cephalanthus occidentalis
   13 Crn.fl   A Cornus florida
   14 Cor      A Corylus
   15 Cupae    A Cupressaceae
   16 Ercae    A Ericaceae
   17 Fag      A Fagus
   18 Fr.p/a-t A Fraxinus pennsylvanica/F. americana-type
   19 Fr.q/n-t A Fraxinus quadrangulata/F. nigra-type
   20 Fra.ud   A Fraxinus undiff.
   21 Ilx      A Ilex
   22 Jug.c    A Juglans cinerea
   23 Jug.n    A Juglans nigra
   24 Jug.ud   A Juglans undiff.
   25 Liq.s    A Liquidambar styraciflua
   26 Lir.t    A Liriodendron tulipifera
   27 Lon      A Lonicera
   28 Mag      A Magnolia
   29 Mor      A Morus
   30 Myr-t    A Myrica-type
   31 Nys      A Nyssa
   32 Os/Ca    A Ostrya/Carpinus
   33 Pin.Pi   A Pinus subg. Pinus
   34 Pin.ud   A Pinus undiff.
   35 Pla      A Platanus
   36 Pop      A Populus
   37 Pru      A Prunus
   38 Que      A Quercus
   39 Rha      A Rhamnus
   40 Rob      A Robinia
   41 Slx      A Salix
   42 Sam      A Sambucus
   43 Til      A Tilia
   44 Tox.r    A Toxicodendron radicans
   45 Tsu      A Tsuga
   46 Ulm      A Ulmus
   47 Vib      A Viburnum
   48 Vit      A Vitis
   49 Zan.a    A Zanthoxylum americanum
   50 Amb      B Ambrosia
   51 Apiae    B Apiaceae
   52 Art      B Artemisia
   53 Astae.Au B Asteraceae subf. Asteroideae undiff.
   54 Astae.Ci B Asteraceae subf. Cichorioideae
   55 Bid-t    B Bidens-type
   56 Braae    B Brassicaceae
   57 Cryae    B Caryophyllaceae
   58 Che-t    B Chenopodium-type
   59 Cypae    B Cyperaceae
   60 Did      B Diodia
   61 Dod      B Dodecatheon
   62 Gal      B Galium
   63 Hyp      B Hypericum
   64 Hyx.h    B Hypoxis hirsuta
   65 Iva      B Iva
   66 Lamae    B Lamiaceae
   67 Malae    B Malvaceae
   68 Mit      B Mitella
   69 Ongae    B Onagraceae
   70 Pln.la   B Plantago lanceolata
   71 Pln.ma   B Plantago major
   72 Pln.ud   B Plantago undiff.
   73 Poaae.ud B Poaceae undiff.
   74 Pol.hd-t B Polygonum hydropiper-type
   75 Rbs      B Rubus
   76 Rum      B Rumex
