# GPD ASCII Format
# 24 Apr 00
# Raw Counts - All Pollen Types
#
# ****************************************************************
# ** Please acknowledge the contributors and the North American **
# ** Pollen Database when using these data.                     **
# ****************************************************************
#
# Site name:      Burden Lake
# Place:          USA:New York
# Latitude:       42.36.15N      (  42.604167)
# Longitude:      73.34.00W      ( -73.566667)
# Elevation(m):   192
# Sigle:          BURDEN
# Entity name:
# Contact person: Webb, T. III
# Entity notes:   fburd fossil + 04cm + 605cm [COHMAP notes]
#
# Radiocarbon dates:
#   Depth   Thk     Age   SDup   SDlo  Lab no.    Basis  Material
#    52.5     5    1600     70     70  WIS-1737     G    gyttja
#   152.5     5    2500     70     70  WIS-1738     G    gyttja
#   253.0     6    2870     70     70  WIS-1360     G    gyttja
#   422.5     5    4000     70     70  WIS-1739     G    gyttja
#   523.0     6    4630     70     70  WIS-1361     G    gyttja
#   582.5     5    4820     70     70  WIS-1740     G    gyttja
#   652.5     5    5510     80     80  WIS-1741     G    gyttja
#   753.0     6    6700     80     80  WIS-1362     G    gyttja
#   822.5     5    7340     80     80  WIS-1742     G    gyttja
#   942.5     5    8250     90     90  WIS-1743     G    gyttja
#   983.0     6    8730     90     90  WIS-1363     G    gyttja
#
# Chron name:     NAPD 1
# Age model:      linear interpolation
# Age bounds:     1840 - 8840
# Chron notes:    Chron uses 11 C14 dates and guess for top based on lack of a
#                 European cultural horizon.
#
# Age basis:
#   Depth   Thk     Age  AgeUp  AgeLo  RCode
#     4.0     0     500    550    450   GUE
#    52.5     5    1600   1740   1460   C14
#   152.5     5    2500   2640   2360   C14
#   253.0     6    2870   3010   2730   C14
#   422.5     5    4000   4140   3860   C14
#   523.0     6    4630   4770   4490   C14
#   582.5     5    4820   4960   4680   C14
#   652.5     5    5510   5670   5350   C14
#   753.0     6    6700   6860   6540   C14
#   822.5     5    7340   7500   7180   C14
#   942.5     5    8250   8430   8070   C14
#   983.0     6    8730   8910   8550   C14
#
# Publications:   Steventon, R.L., and J.E. Kutzbach. 1987. University of
#                 Wisconsin radiocarbon dates XXIV. Radiocarbon 29:397-415.
#
#                 Steventon, R.L., and J.E. Kutzbach. 1983. University of
#                 Wisconsin radiocarbon dates XX. Radiocarbon 25:152-168.
#
#                 Gaudreau, D.C. 1986. Late-Quaternary vegetational history of
#                 the northeast: paleoecological implications of topographic
#                 patterns in pollen distributions. Dissertation. Yale
#                 University, New Haven, Connecticut, USA.
#
89 34
    1 Abi      A Abies
    2 Ace.ne   A Acer negundo
    3 Ace.ru   A Acer rubrum
    4 Ace.sc-t A Acer saccharinum-type
    5 Ace.sa-t A Acer saccharum-type
    6 Ace.ud   A Acer undiff.
    7 Aln      A Alnus
    8 Bet      A Betula
    9 Car      A Carya
   10 Cas      A Castanea
   11 Cel      A Celtis
   12 Cep      A Cephalanthus
   13 Cor      A Corylus
   14 Cupae    A Cupressaceae
   15 Ercae    A Ericaceae
   16 Fag      A Fagus
   17 Fra.c4   A Fraxinus (tetracolpate)
   18 Fra.c3   A Fraxinus (tricolpate)
   19 Fra.ud   A Fraxinus undiff.
   20 Ilx      A Ilex
   21 Jug.c    A Juglans cinerea
   22 Jug.n    A Juglans nigra
   23 Lar      A Larix
   24 Liq      A Liquidambar
   25 Mor      A Morus
   26 Myr      A Myrica
   27 Nys      A Nyssa
   28 Os/Ca    A Ostrya/Carpinus
   29 Pic      A Picea
   30 Pin.Pi   A Pinus subg. Pinus
   31 Pin.St   A Pinus subg. Strobus
   32 Pin.ud   A Pinus undiff.
   33 Pla      A Platanus
   34 Pop      A Populus
   35 Que      A Quercus
   36 Rhaae    A Rhamnaceae
   37 Rh/Vi.ud A Rhamnaceae/Vitaceae undiff.
   38 Rhu      A Rhus
   39 Slx      A Salix
   40 Sam      A Sambucus
   41 Sar.v    A Sarcobatus vermiculatus
   42 shrub.ud A Shrubs undiff.
   43 Txs      A Taxus
   44 Til      A Tilia
   45 Tsu      A Tsuga
   46 Ulm      A Ulmus
   47 Vib      A Viburnum
   48 Amb-t    B Ambrosia-type
   49 Art      B Artemisia
   50 Astae.Au B Asteraceae subf. Asteroideae undiff.
   51 Braae    B Brassicaceae
   52 Canae    B Cannabaceae
   53 Ch/Am.ud B Chenopodiaceae/Amaranthaceae undiff.
   54 Cypae    B Cyperaceae
   55 Gal      B Galium
   56 Pln      B Plantago
   57 Poaae    B Poaceae
   58 Ranae.ud B Ranunculaceae undiff.
   59 Rosae    B Rosaceae
   60 Sal      B Salsola
   61 Tha      B Thalictrum
   62 Urt-t    B Urtica-type
   63 Xan      B Xanthium
   64 Adi      F Adiantum
   65 Bot      F Botrychium
   66 Dph.c-t  F Diphasiastrum complanatum-type
   67 Drp-t    F Dryopteris-type
   68 Equ      F Equisetum
   69 Hup.l    F Huperzia lucidula
   70 Lycae.ud F Lycopodiaceae undiff.
   71 Lyc.cl   F Lycopodium clavatum
   72 Osu      F Osmunda
   73 Ptr-t    F Pteridium-type
   74 Spg      M Sphagnum
   75 Brs.s    Q Brasenia schreberi
   76 Iso      Q Isoëtes
   77 Men.t    Q Menyanthes trifoliata
   78 Nup      Q Nuphar
   79 Nym      Q Nymphaea
   80 Pot      Q Potamogeton
   81 Spa-t    Q Sparganium-type
   82 Typ.l    Q Typha latifolia
   83 sp.m     S Spore (monolete)
   84 ind.br   X Indeterminable (broken)
   85 ind.cr   X Indeterminable (crumpled)
   86 ind.de   X Indeterminable (degraded)
   87 ind.hi   X Indeterminable (hidden)
   88 unk      X Unknown
   89 Euc.spik - Eucalyptus spike (number counted)
4, , 500
     0.0     0.0     7.0     2.0    21.0     0.0    12.0   123.0    16.0    28.0
     0.0     1.0     2.0     0.0     0.0    60.0     7.0     9.0     0.0     1.0
     2.0     0.0     0.0     0.0     0.0     9.0     0.0    17.0     5.0     1.0
     3.0    41.0     2.0     0.0   184.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     2.0    59.0    10.0     0.0     3.0     0.0     0.0
     0.0     1.0     0.0     0.0     0.0     0.0     2.0     0.0     0.0     0.0
     2.0     0.0     1.0     0.0     0.0     0.0     3.0     0.0     0.0     0.0
     0.0     1.0     1.0     0.0     2.0     0.0     0.0     1.0     0.0     1.0
     0.0     0.0     0.0     2.0     2.0    17.0     3.0     3.0   318.0
20, , 863
     1.0     0.0     1.0     2.0     2.0     7.0    10.0    51.0    10.0    29.0
     0.0     0.0     1.0     1.0     0.0    31.0     5.0     8.0     2.0     0.0
     0.0     0.0     0.0     0.0     0.0     1.0     0.0     7.0     3.0     2.0
     5.0    37.0     0.0     1.0    89.0     0.0     0.0     0.0     1.0     0.0
     0.0     0.0     0.0     1.0    44.0     3.0     0.0     0.0     1.0     0.0
     0.0     0.0     1.0     5.0     0.0     0.0     1.0     0.0     2.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     2.0     0.0     0.0     0.0
     0.0     0.0     1.0     0.0     1.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     1.0     1.0     0.0   222.0
50, , 1543
     0.0     0.0     0.0     0.0     6.0     0.0    10.0    55.0     6.0    23.0
     0.0     0.0     0.0     1.0     0.0    30.0     3.0     8.0     1.0     0.0
     2.0     0.0     0.0     0.0     0.0     0.0     0.0    13.0     1.0     0.0
     7.0    50.0     0.0     1.0    97.0     0.0     0.0     1.0     0.0     0.0
     0.0     0.0     0.0     0.0    41.0     5.0     0.0     0.0     1.0     0.0
     0.0     0.0     1.0     1.0     0.0     0.0     1.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     2.0     0.0     0.0     0.0
     0.0     0.0     4.0     3.0     0.0     2.0     0.0     1.0     0.0     1.0
     0.0     0.0     0.0     0.0     1.0     2.0     2.0     0.0   181.0
80, , 1848
     0.0     0.0     7.0     2.0    13.0     0.0    39.0    90.0    22.0    13.0
     0.0     0.0     2.0     0.0     0.0    51.0     8.0     6.0     0.0     0.0
     0.0     0.0     1.0     0.0     0.0     0.0     0.0    10.0     3.0     1.0
    16.0    94.0     2.0     2.0   158.0     0.0     0.0     1.0     0.0     0.0
     0.0     0.0     0.0     0.0    80.0     8.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     6.0     0.0     0.0     3.0     0.0     0.0     0.0
     1.0     0.0     0.0     0.0     0.0     0.0     5.0     0.0     0.0     0.0
     0.0     3.0     4.0     2.0     2.0     4.0     0.0     1.0     0.0     0.0
     0.0     0.0     0.0     0.0     2.0     4.0     1.0     1.0   306.0
120, , 2208
     0.0     0.0     3.0     2.0    11.0     0.0    20.0    79.0    11.0    15.0
     0.0     0.0     1.0     0.0     0.0    64.0     3.0     5.0     1.0     1.0
     2.0     0.0     0.0     0.0     0.0     0.0     0.0    12.0     0.0     1.0
     6.0    80.0     4.0     1.0   143.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     2.0    87.0     6.0     0.0     1.0     0.0     0.0
     0.0     0.0     0.0     7.0     0.0     0.0     0.0     0.0     0.0     0.0
     1.0     0.0     0.0     1.0     0.0     0.0     4.0     0.0     0.0     0.0
     0.0     0.0     4.0     1.0     0.0     0.0     0.0     0.0     0.0     1.0
     0.0     0.0     1.0     3.0     2.0     2.0     2.0     1.0   270.0
150, , 2478
     1.0     0.0     4.0     1.0    11.0     2.0    13.0    46.0     3.0     7.0
     0.0     0.0     0.0     0.0     0.0    48.0     5.0     4.0     0.0     1.0
     0.0     0.0     0.0     0.0     0.0     1.0     1.0    11.0     2.0     0.0
     7.0    53.0     2.0     1.0    89.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     1.0    46.0     6.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     6.0     0.0     0.0     1.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     2.0     5.0     0.0     0.0
     0.0     0.0     1.0     1.0     0.0     0.0     0.0     0.0     2.0     0.0
     0.0     0.0     0.0     1.0     1.0     6.0     1.0     2.0   177.0
180, , 2601
     0.0     0.0     1.0     0.0    12.0     0.0    16.0    54.0    10.0     9.0
     0.0     0.0     0.0     2.0     0.0    51.0    11.0     7.0     2.0     2.0
     1.0     0.0     0.0     0.0     0.0     0.0     1.0    15.0     0.0     1.0
    30.0    95.0     5.0     0.0   147.0     0.0     0.0     1.0     0.0     0.0
     0.0     0.0     0.0     2.0    67.0    12.0     0.0     1.0     0.0     0.0
     0.0     0.0     0.0     2.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     2.0     0.0     0.0     0.0
     0.0     0.0     1.0     0.0     2.0     0.0     0.0     0.0     1.0     0.0
     1.0     0.0     1.0     0.0     2.0     6.0     0.0     2.0   318.0
220, , 2748
     0.0     0.0     7.0     2.0    19.0     0.0    22.0    49.0    20.0     8.0
     0.0     0.0     1.0     0.0     0.0    69.0    11.0    10.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     1.0    18.0     1.0     2.0
    14.0    70.0     6.0     3.0   151.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     1.0    39.0    10.0     0.0     2.0     1.0     0.0
     0.0     0.0     0.0     6.0     0.0     0.0     0.0     1.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     1.0     0.0     0.0     0.0
     0.0     0.0     4.0     0.0     0.0     0.0     0.0     0.0     2.0     0.0
