# GPD ASCII Format
# 24 Apr 00
# Raw Counts - All Pollen Types
#
# ****************************************************************
# ** Please acknowledge the contributors and the North American **
# ** Pollen Database when using these data.                     **
# ****************************************************************
#
# Site name:      Chase Pond
# Place:          CAN:Nova Scotia
# Latitude:       45.39.05N      (  45.651389)
# Longitude:      60.40.30W      ( -60.675   )
# Elevation(m):   15
# Sigle:          CHASE
# Entity name:
# Contact person: Mayle, F.E.
#
# Radiocarbon dates:
#   Depth   Thk     Age   SDup   SDlo  Lab no.    Basis  Material
#   469.0     1    9200     80     80  TO-2330      A    twig, leaf, Lar and Pi
#   492.0     3    9600     80     80  TO-2329      A    twig, leaf fragments
#   518.0     1   10110     70     70  TO-2328      A    twig, leaf fragments
#   533.0     1   11260     90     90  TO-2327      A    twig fragments
#   542.5     2   11410     60     60  TO-2326      A    twig fragments
#   556.0     1   12570     60     60  TO-2325      A    twig fragments
#   580.0     1   14010    100    100  TO-2324      A    twig fragments
#
# Chron name:     NAPD 3
# Age model:      linear interpolation
# Age bounds:     9200 - 14370
# Chron notes:    Chron uses 5 AMS dates and on averaged date. Dates 11,260±90
#                 and 11,410±60 are statistically the same at the 95% level
#                 (Calib 4.1).
#
# Age basis:
#   Depth   Thk     Age  AgeUp  AgeLo  RCode
#   469.0     1    9200   9360   9040   C14
#   492.0     3    9600   9760   9440   C14
#   518.0     1   10110  10250   9970   C14
#   538.0    11   11354  11530  11178   CAV
#   556.0     1   12570  12690  12450   C14
#   580.0     1   14010  14210  13810   C14
#
# Publications:   Mayle, F.E., and L.C. Cwynar. 1995. A review of multi-proxy
#                 data for the Younger Dryas in Atlantic Canada. Quaternary
#                 Science Reviews 14:813-821.
#
#                 Mayle, F.E., and L.C. Cwynar. 1995. Impact of the younger
#                 Dryas cooling event upon lowland vegetation of Maritime
#                 Canada. Ecological Monographs 65:129-154.
#
#                 Mayle, F.E., A.J. Levesque, and L.C. Cwynar. 1993.
#                 Accelerator-Mass-Spectrometer ages for the Younger Dryas
#                 event in Atlantic Canada. Quaternary Research 39:355-360.
#
#                 Levesque, A.J., F.E. Mayle, I.R. Walker, and L.C. Cwynar.
#                 1993. A previously unrecognized late-glacial cold event in
#                 eastern North America. Nature 361:623-626.
#
#                 Levesque, A.J., F.E. Mayle, I.R. Walker, and L.C. Cwynar.
#                 1993. Erratum: A previously unrecognized late-glacial cold
#                 event in eastern North America. Nature 363:188.
#
91 39
    1 Abi      A Abies
    2 Ace.sa   A Acer saccharum
    3 Ace.sp   A Acer spicatum
    4 Ace.ud   A Acer undiff.
    5 Aln.i    A Alnus incana
    6 Aln.ud   A Alnus undiff.
    7 Aln.v    A Alnus viridis
    8 Bet      A Betula
    9 Car      A Carya
   10 Cas      A Castanea
   11 Crn.ca   A Cornus canadensis
   12 Crn.se   A Cornus sericea
   13 Cor      A Corylus
   14 Cupae    A Cupressaceae
   15 Ercae    A Ericaceae
   16 Fag      A Fagus
   17 Fra.ni   A Fraxinus nigra
   18 Ilx      A Ilex
   19 Lar      A Larix
   20 Myr      A Myrica
   21 Os/Ca    A Ostrya/Carpinus
   22 Pic.gl   A Picea glauca
   23 Pic.ma   A Picea mariana
   24 Pic.ud   A Picea undiff.
   25 Pin.ba-t A Pinus banksiana-type
   26 Pin.st   A Pinus strobus
   27 Pin.ud   A Pinus undiff.
   28 Pop.ba   A Populus balsamifera
   29 Pop.ud   A Populus undiff.
   30 Que      A Quercus
   31 Slx      A Salix
   32 She.c    A Shepherdia canadensis
   33 Spi      A Spiraea
   34 Til      A Tilia
   35 Tsu.c    A Tsuga canadensis
   36 Ulm      A Ulmus
   37 Amb      B Ambrosia
   38 Apiae    B Apiaceae
   39 Art      B Artemisia
   40 Astae.Au B Asteraceae subf. Asteroideae undiff.
   41 Cam-t    B Campanula-type
   42 Cryae    B Caryophyllaceae
   43 Ch/Am    B Chenopodiaceae/Amaranthaceae
   44 Cypae    B Cyperaceae
   45 Dry      B Dryas
   46 Epi      B Epilobium
   47 Fabae    B Fabaceae
   48 Pln      B Plantago
   49 Poaae    B Poaceae
   50 Ptl      B Potentilla
   51 Rosae.ud B Rosaceae undiff.
   52 Ru/Ox    B Rumex/Oxyria digyna
   53 Sax.op   B Saxifraga oppositifolia
   54 Sax.pe   B Saxifraga pensylvanica
   55 Sax.ud   B Saxifraga undiff.
   56 Tha      B Thalictrum
   57 Urt      B Urtica
   58 Adi      F Adiantum
   59 Bot.s-t  F Botrychium simplex-type
   60 Bot.ud   F Botrychium undiff.
   61 Den      F Dennstaedtia
   62 Dph.c    F Diphasiastrum complanatum
   63 Drp-t    F Dryopteris-type
   64 Equ      F Equisetum
   65 Hup.s    F Huperzia selago
   66 Lycae.ud F Lycopodiaceae undiff.
   67 Lyl.i    F Lycopodiella inundata
   68 Lyc.a    F Lycopodium annotinum
   69 Lyc.cl   F Lycopodium clavatum
   70 Lyc.o    F Lycopodium obscurum
   71 Osu.c    F Osmunda cinnamomea
   72 Osu.r/c  F Osmunda regalis/O. claytoniana
   73 Osu.ud   F Osmunda undiff.
   74 Ptr      F Pteridium
   75 Sel.ru   F Selaginella rupestris
   76 Sel.se   F Selaginella selaginoides
   77 Sel.si   F Selaginella sibirica
   78 Spg      M Sphagnum
   79 Cal      Q Caltha
   80 Iso      Q Isoëtes
   81 Lem      Q Lemna
   82 Men.t    Q Menyanthes trifoliata
   83 Myp      Q Myriophyllum
   84 Pot      Q Potamogeton
   85 Typ.a    Q Typha angustifolia
   86 Typ.l    Q Typha latifolia
   87 ind      X Indeterminable
   88 unk      X Unknown
   89 pQ       Z pre-Quaternary
   90 Lyc.spik - Lycopodium spike (number counted)
   91 Lyc.ta.n - Lycopodium tablets (added, number)
469, , 9200
     4.0     0.0     3.0     0.0     1.0     2.0     4.0   219.0     0.0     0.0
     0.0     0.0     5.0     0.0     0.0     0.0     0.0     0.0     7.0    18.0
     0.0     1.0     3.0     8.0     0.0     7.0     7.0     6.0     0.0     6.0
     1.0     0.0     0.0     0.0     0.0     2.0     0.0     0.0     0.0     3.0
     0.0     0.0     0.0     3.0     0.0     0.0     0.0     0.0     0.0     1.0
     0.0     1.0     0.0     0.0     0.0     3.0     0.0     0.0     0.0     0.0
     0.0     0.0    17.0     0.0     0.0     1.0     0.0     3.0     2.0     0.0
     1.0     0.0     1.0     0.0     0.0     0.0     1.0     0.0     0.0     0.0
     0.0     0.0     0.0     3.0     0.0     2.0     4.0     1.0     0.0   127.0
     3.0
473, , 9269
     1.0     0.0     2.0     0.0     0.0     0.0     4.0   195.0     1.0     0.0
     0.0     0.0     1.0     2.0     0.0     0.0     0.0     0.0     3.0    41.0
     0.0     5.0     2.0    22.0     1.0     6.0     5.0     4.0     0.0     8.0
     1.0     0.0     0.0     0.0     0.0     2.0     1.0     0.0     1.0     1.0
     0.0     0.0     0.0     6.0     0.0     0.0     0.0     0.0     1.0     0.0
     0.0     0.0     0.0     0.0     0.0     5.0     0.0     0.0     0.0     0.0
     0.0     0.0    28.0     0.0     0.0     1.0     0.0     1.0     5.0     3.0
     0.0     0.0     1.0     1.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     2.0     0.0     0.0     3.0     9.0     0.0     0.0   154.0
     3.0
479, , 9373
     3.0     0.0     0.0     0.0     0.0     0.0     2.0   293.0     0.0     0.0
     0.0     0.0     0.0     5.0     0.0     0.0     6.0     0.0     0.0    39.0
     1.0     4.0     2.0    10.0     1.0     3.0     3.0    11.0     2.0     8.0
     2.0     0.0     0.0     0.0     1.0     2.0     0.0     0.0     0.0     2.0
     0.0     0.0     0.0     6.0     0.0     0.0     0.0     0.0     0.0     1.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.0     0.0     0.0
     0.0     0.0    15.0     0.0     0.0     1.0     0.0     4.0     2.0     1.0
     1.0     0.0     0.0     1.0     0.0     0.0     0.0     3.0     0.0     0.0
     0.0     0.0     2.0     0.0     0.0     2.0     9.0     6.0     0.0   145.0
     3.0
485, , 9478
     0.0     0.0     0.0     0.0     0.0     0.0     2.0   215.0     0.0     1.0
     0.0     0.0     0.0     6.0     0.0     0.0     5.0     0.0     2.0    54.0
     2.0     7.0     5.0    30.0     1.0     1.0     5.0     8.0     1.0    16.0
     2.0     0.0     0.0     0.0     0.0     5.0     0.0     0.0     0.0     5.0
     0.0     0.0     1.0     9.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     1.0    36.0     1.0     0.0     2.0     0.0    10.0     1.0     5.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     2.0     0.0     2.0
     0.0     0.0     3.0     3.0     0.0     5.0    12.0     2.0     0.0   181.0
     3.0
491, , 9582
     0.0     2.0     0.0     0.0     1.0     1.0     2.0    67.0     0.0     0.0
     0.0     0.0     1.0     9.0     0.0     1.0     3.0     0.0     3.0    79.0
     1.0    13.0     1.0    52.0     0.0    10.0     8.0    12.0     0.0    20.0
    10.0     1.0     0.0     0.0     0.0     1.0     1.0     0.0     0.0    10.0
     0.0     1.0     0.0     8.0     0.0     0.0     0.0     0.0     2.0     3.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     2.0    40.0     0.0     0.0     7.0     0.0    64.0     4.0    10.0
     2.0     0.0     0.0     0.0     0.0     0.0     2.0     4.0     0.0     0.0
     0.0     0.0     3.0     4.0     1.0     5.0     6.0     1.0     0.0   303.0
     3.0
496, , 9678
     1.0     0.0     0.0     0.0     1.0     0.0     8.0   138.0     0.0     0.0
     0.0     1.0     0.0    15.0     2.0     0.0     2.0     0.0     0.0   257.0
     2.0    19.0     5.0    55.0     0.0    11.0    13.0    11.0     2.0    18.0
    33.0     2.0     0.0     0.0     1.0     2.0     1.0     1.0     1.0    28.0
     0.0     0.0     0.0     6.0     0.0     0.0     0.0     1.0     8.0     2.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     1.0    51.0     0.0     0.0    14.0     0.0    51.0    13.0     8.0
     0.0     0.0     0.0     2.0     0.0     0.0     1.0     2.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     7.0    13.0     0.0     0.0   532.0
     3.0
499, , 9737
     0.0     0.0     0.0     0.0     0.0     1.0     4.0   128.0     0.0     0.0
     0.0     0.0     0.0     6.0     5.0     0.0     0.0     0.0     0.0   261.0
     1.0    13.0     2.0    34.0     2.0    11.0     9.0     2.0     0.0    14.0
    26.0     0.0     0.0     0.0     0.0     0.0     1.0     4.0     0.0    20.0
     0.0     0.0     0.0     7.0     0.0     0.0     0.0     0.0    12.0     1.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     1.0     0.0    35.0     0.0     1.0     2.0     0.0    39.0     3.0     4.0
     0.0     0.0     0.0     0.0     0.0     0.0     4.0     0.0     0.0     0.0
     0.0     0.0     0.0     1.0     0.0     4.0    11.0     3.0     0.0   487.0
     3.0
502, , 9796
     0.0     0.0     0.0     1.0     2.0     1.0     3.0   102.0     0.0     0.0
     0.0     0.0     0.0     1.0     7.0     0.0     3.0     0.0     0.0   203.0
     2.0     7.0     1.0    18.0     1.0    15.0     8.0     2.0     1.0    12.0
    20.0     0.0     0.0     0.0     0.0     0.0     0.0     1.0     1.0    19.0
     0.0     0.0     0.0     4.0     0.0     0.0     1.0     0.0    22.0     3.0
     1.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0    21.0     0.0     0.0     2.0     0.0    35.0     4.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     2.0     1.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     7.0     2.0     0.0   404.0
     3.0
505, , 9855
     1.0     1.0     1.0     0.0     0.0     1.0     6.0   143.0     0.0     1.0
     0.0     0.0     0.0     5.0    11.0     0.0     1.0     0.0     0.0   244.0
     0.0     6.0     1.0    13.0     2.0    11.0    17.0     4.0     1.0     1.0
    20.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0    17.0
     0.0     0.0     0.0    13.0     0.0     0.0     1.0     0.0    14.0     5.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     1.0    21.0     0.0     0.0     9.0     0.0    37.0     9.0     6.0
     1.0     0.0     0.0     0.0     0.0     1.0     0.0     2.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     8.0     1.0     0.0   416.0
     3.0
509, , 9933
     0.0     0.0     0.0     0.0     2.0     0.0     6.0   134.0     0.0     0.0
     0.0     0.0     0.0     0.0    11.0     0.0     1.0     1.0     1.0   107.0
     0.0     3.0     1.0     5.0     7.0     8.0    13.0     1.0     0.0     1.0
    12.0     0.0     0.0     0.0     0.0     1.0     0.0     0.0     1.0     5.0
     0.0     0.0     0.0    12.0     0.0     0.0     1.0     0.0    11.0     4.0
     1.0     0.0     0.0     0.0     0.0     1.0     0.0     0.0     0.0     1.0
     0.0     0.0    10.0     0.0     0.0     0.0     2.0    26.0     8.0     3.0
     0.0     0.0     0.0     1.0     0.0     0.0     1.0     3.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     5.0     2.0     0.0   423.0
     3.0
511, , 9972
     0.0     0.0     0.0     0.0     3.0     3.0     2.0   129.0     0.0     0.0
     0.0     0.0     0.0     1.0    20.0     0.0     4.0     1.0     1.0   109.0
     1.0     2.0     1.0     2.0     5.0     9.0    13.0     1.0     0.0     5.0
     9.0     0.0     0.0     0.0     0.0     0.0     1.0     0.0     0.0     9.0
     0.0     0.0     0.0    13.0     0.0     0.0     3.0     0.0    15.0     6.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0    10.0    18.0     0.0     0.0     5.0     0.0    16.0    16.0    10.0
     1.0     0.0     0.0     1.0     0.0     0.0     2.0     1.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0    13.0     0.0     0.0   562.0
     3.0
514, , 10031
     0.0     0.0     0.0     0.0     8.0     1.0     1.0    89.0     0.0     0.0
     0.0     0.0     0.0     1.0     8.0     0.0     1.0     0.0     0.0     4.0
     1.0     0.0     0.0     2.0     4.0     3.0    21.0     0.0     0.0     9.0
    11.0     1.0     0.0     0.0     1.0     0.0     0.0     0.0     3.0     5.0
     0.0     1.0     0.0    24.0     0.0     0.0     6.0     0.0    32.0     2.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.0
     0.0     1.0     7.0     0.0     0.0     1.0     1.0    17.0    17.0     4.0
     0.0     0.0     0.0     0.0     0.0     0.0     1.0     1.0     0.0     0.0
     1.0     0.0     0.0     0.0     0.0     0.0     6.0     6.0     0.0   543.0
     3.0
516, , 10070
     1.0     0.0     0.0     0.0     5.0     3.0     2.0    95.0     0.0     1.0
     0.0     0.0     1.0     1.0    16.0     0.0     1.0     0.0     0.0     8.0
     0.0     0.0     3.0     3.0     4.0     6.0    18.0     0.0     0.0     3.0
    15.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     2.0     2.0
     0.0     1.0     0.0    58.0     0.0     1.0    11.0     0.0    24.0     2.0
     1.0     2.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     6.0     0.0     1.0     7.0     0.0     6.0    12.0     5.0
     0.0     0.0     0.0     0.0     0.0     3.0     1.0     4.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0    13.0     2.0     0.0   632.0
     0.0
517, , 10090
     0.0     0.0     0.0     0.0     0.0     1.0    15.0    77.0     0.0     1.0
     0.0     0.0     0.0     0.0    12.0     0.0     0.0     0.0     0.0     9.0
     2.0     0.0     2.0     3.0     6.0     4.0    12.0     0.0     0.0     3.0
    18.0     0.0     0.0     0.0     0.0     2.0     0.0     0.0     4.0     7.0
     3.0     2.0     0.0    87.0     0.0     1.0    16.0     0.0    24.0     0.0
     0.0     3.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     4.0     0.0     0.0     0.0     0.0     3.0     5.0     0.0
     0.0     0.0     0.0     0.0     0.0     1.0     4.0     8.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0    10.0     4.0     0.0  1096.0
     3.0
518, , 10110
     0.0     0.0     0.0     0.0     7.0     7.0     7.0    58.0     0.0     3.0
     1.0     0.0     0.0     1.0     4.0     0.0     0.0     0.0     1.0     0.0
     0.0     0.0     1.0     9.0     1.0     2.0    30.0     1.0     0.0     4.0
    16.0     0.0     1.0     0.0     1.0     1.0     1.0     0.0    10.0     5.0
     0.0     0.0     0.0    63.0     0.0     0.0     1.0     0.0    10.0     0.0
     0.0     7.0     0.0     0.0     0.0     1.0     0.0     0.0     0.0     3.0
     0.0     0.0    10.0     0.0     1.0     0.0     0.0     2.0     2.0     0.0
     0.0     0.0     0.0     3.0     0.0     3.0     1.0     3.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0    29.0    11.0     0.0  1291.0
     3.0
519, , 10172
     0.0     0.0     0.0     0.0     0.0     0.0    31.0    51.0     0.0     0.0
     0.0     0.0     0.0     0.0     4.0     0.0     1.0     0.0     0.0     1.0
     0.0     0.0     9.0     3.0     7.0     1.0    44.0     0.0     0.0     1.0
    13.0     4.0     0.0     0.0     1.0     0.0     1.0     0.0     9.0     2.0
     0.0     6.0     1.0    86.0     0.0     1.0     2.0     0.0     5.0     5.0
     0.0     7.0     0.0     0.0     1.0     1.0     0.0     0.0     0.0     0.0
     0.0     0.0    13.0     0.0     6.0     3.0     0.0     7.0     1.0     2.0
     0.0     0.0     0.0     1.0     0.0     2.0     4.0     7.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0    18.0     5.0     0.0  1303.0
     3.0
521, , 10296
     1.0     0.0     0.0     0.0    16.0     0.0     1.0    48.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     1.0     0.0     0.0     3.0
     1.0     0.0     4.0    12.0    13.0     3.0    26.0     1.0     0.0     1.0
    20.0     1.0     0.0     0.0     0.0     0.0     0.0     0.0    11.0     3.0
     0.0     3.0     0.0    62.0     0.0     0.0     1.0     0.0    13.0     0.0
     0.0     8.0     0.0     0.0     0.0     3.0     0.0     0.0     0.0     1.0
     0.0     0.0    19.0     0.0     0.0     3.0     0.0     3.0     0.0     2.0
     0.0     0.0     0.0     2.0     0.0     0.0     7.0     4.0     0.0     0.0
     0.0     0.0     0.0     1.0     0.0     0.0    22.0     2.0     0.0  1076.0
     3.0
523, , 10421
     0.0     0.0     0.0     0.0     0.0     1.0    10.0    55.0     0.0     0.0
     0.0     0.0     0.0     0.0    10.0     0.0     0.0     0.0     0.0     2.0
     1.0     0.0     3.0    10.0    13.0     7.0    40.0     1.0     0.0     1.0
    28.0     2.0     1.0     0.0     1.0     0.0     0.0     0.0    12.0     5.0
     0.0     4.0     0.0    86.0     0.0     0.0     2.0     0.0     9.0     1.0
     0.0    15.0     1.0     1.0     0.0     1.0     0.0     0.0     0.0     0.0
     0.0     0.0    26.0     0.0     1.0     4.0     0.0     6.0     2.0     0.0
     0.0     0.0     0.0     0.0     0.0     2.0     2.0     3.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0    27.0     2.0     0.0  1231.0
     3.0
525, , 10545
     0.0     0.0     2.0     0.0    10.0     9.0     3.0    29.0     0.0     1.0
     0.0     0.0     0.0     1.0     3.0     0.0     0.0     0.0     1.0     0.0
     0.0     0.0     3.0    11.0     4.0     6.0    33.0     4.0     0.0     0.0
    22.0     1.0     4.0     0.0     0.0     0.0     0.0     0.0    11.0     6.0
     0.0     7.0     0.0    55.0     0.0     0.0     0.0     0.0    15.0     0.0
     0.0     1.0     1.0     0.0     0.0     3.0     0.0     0.0     0.0     2.0
     0.0     0.0    28.0     0.0     2.0     1.0     0.0     5.0     1.0     1.0
     0.0     0.0     0.0     0.0     0.0     2.0     2.0    10.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0    26.0     6.0     0.0  1133.0
     3.0
529, , 10794
     0.0     0.0     0.0     0.0    12.0     4.0     4.0    20.0     0.0     0.0
     0.0     0.0     0.0     2.0     6.0     0.0     0.0     0.0     1.0     2.0
     0.0     2.0     6.0    14.0    10.0     3.0    27.0     0.0     0.0     0.0
    14.0     2.0     0.0     0.0     0.0     2.0     0.0     0.0    20.0     0.0
     0.0     2.0     0.0    81.0     0.0     0.0     1.0     0.0     9.0     0.0
     0.0    15.0     0.0     0.0     0.0     0.0     0.0     0.0     1.0     0.0
     0.0     0.0    10.0     0.0     0.0     2.0     0.0     3.0     3.0     0.0
     0.0     0.0     0.0     0.0     0.0     3.0     2.0     8.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0    29.0     5.0     0.0   921.0
     3.0
532, , 10980
     0.0     1.0     0.0     0.0     0.0     0.0    13.0    34.0     0.0     0.0
     0.0     0.0     0.0     1.0     7.0     0.0     0.0     0.0     0.0     1.0
     1.0     0.0     2.0     7.0     6.0     4.0    44.0     0.0     0.0     0.0
    25.0     6.0     0.0     0.0     0.0     1.0     1.0     0.0    13.0     9.0
     0.0     7.0     0.0    87.0     0.0     0.0     0.0     0.0    11.0     1.0
