# GPD ASCII Format
# 24 Apr 00
# Raw Counts - All Pollen Types
#
# ****************************************************************
# ** Please acknowledge the contributors and the North American **
# ** Pollen Database when using these data.                     **
# ****************************************************************
#
# Site name:      Clear Pond [South Carolina]
# Place:          USA:South Carolina
# Latitude:       33.47.55N      (  33.798611)
# Longitude:      78.57.13W      ( -78.953611)
# Elevation(m):   10
# Sigle:          CLEARPND
# Entity name:
# Contact person: Hussey, T.C.
#
# Radiocarbon dates:
#   Depth   Thk     Age   SDup   SDlo  Lab no.    Basis  Material
#   280.0     6    2460     60     60  Beta-61064   L    gyttja
#   330.0     5    4500     80     80  Beta-61065   L    gyttja
#   372.0     4    6960     90     90  Beta-61066   L    gyttja
#   475.0     5    8460     80     80  Beta-61067   L    gyttja
#   521.0     1   11510     80     80  CAMS-6597    A    bark
#   655.0     2   12790    110    110  AA-9292      A    terrestrial macros
#   720.0     1   14740    110    110  CAMS-6598    A    organic sand
#   826.0     1   16240    100    100  CAMS-6599    A    organic sand
#   930.0     1   16150    110    110  CAMS-6600    A    organic sand
#   930.0     4   18180     70     70  Beta-63185   L    twigs
#  1026.0     1    9060     90     90  CAMS-6601    A    organic sand
# Dating notes:   Delta C13 not calculated on CAMS AMS samples, assumed to be
#                 -25.0. Dates 16,150 (CAMS-6600) and 9060 (CAMS-6601) appear
#                 to be too young.
#
# Chron name:     Hussey 1993
# Age model:      3rd degree polynomial (least squares)
# Age bounds:     -40 - 20380
# Chron notes:    First 9 dates used for age model. Bottom 2 dates (16,150 and
#                 9060) not used. Origin fixed.
#
# Age basis:
#   Depth   Thk     Age  AgeUp  AgeLo  RCode
#   217.0     0     -42      0    -42   TOP
#   280.0     6    2460   2520   2400   C13
#   330.0     5    4500   4580   4420   C13
#   372.0     4    6960   7050   6870   C13
#   475.0     5    8460   8540   8380   C13
#   521.0     1   11510  11590  11430   C13
#   656.0     2   12790  12900  12680   C13
#   720.0     1   14740  14850  14630   C13
#   826.0     1   16240  16340  16140   C13
#   930.0     4   18180  18250  18110   C13
#
# Publications:   Hussey, T.C. 1993. A 20,000-year history of vegetation and
#                 climate at Clear Pond, northeastern South Carolina. M.S.
#                 Thesis. University of Maine, Orono, Maine, USA.
#
109 181
    1 Abi      A Abies
    2 Ace.ru   A Acer rubrum
    3 Ace.sa   A Acer saccharum
    4 Ace.ud   A Acer undiff.
    5 Aln      A Alnus
    6 Bet      A Betula
    7 Car      A Carya
    8 Cas      A Castanea
    9 Cel      A Celtis
   10 Cep      A Cephalanthus
   11 cf.Rha   A cf. Rhamnus
   12 cf.Rhu   A cf. Rhus
   13 Crn      A Cornus
   14 Cor      A Corylus
   15 Cupae.ud A Cupressaceae undiff.
   16 Ercae    A Ericaceae
   17 Fag      A Fagus
   18 Fa/Ny    A Fagus/Nyssa
   19 Fra.c4   A Fraxinus (tetracolpate)
   20 Fra.c3   A Fraxinus (tricolpate)
   21 Fra.ud   A Fraxinus undiff.
   22 Ilx      A Ilex
   23 Jug      A Juglans
   24 Lar      A Larix
   25 Liq      A Liquidambar
   26 Mag      A Magnolia
   27 Myr      A Myrica
   28 Nys      A Nyssa
   29 Os/Ca    A Ostrya/Carpinus
   30 Prt      A Parthenocissus
   31 Pic      A Picea
   32 Pin.Pi   A Pinus subg. Pinus
   33 Pin.St   A Pinus subg. Strobus
   34 Pin.ud   A Pinus undiff.
   35 Pla      A Platanus
   36 Pop      A Populus
   37 Que      A Quercus
   38 Slx      A Salix
   39 Txm      A Taxodium
   40 Til      A Tilia
   41 Tsu      A Tsuga
   42 Ulm      A Ulmus
   43 Vit      A Vitis
   44 Amb      B Ambrosia
   45 Apiae    B Apiaceae
   46 Art      B Artemisia
   47 Astae.Au B Asteraceae subf. Asteroideae undiff.
   48 Astae.Ci B Asteraceae subf. Cichorioideae
   49 Astae.ud B Asteraceae undiff.
   50 Borae.ud B Boraginaceae undiff.
   51 Braae    B Brassicaceae
   52 Cryae    B Caryophyllaceae
   53 cf.Rum   B cf. Rumex
   54 cf.San   B cf. Sanguisorba
   55 cf.Ver   B cf. Verbena
   56 Ch/Am    B Chenopodiaceae/Amaranthaceae
   57 Cypae    B Cyperaceae
   58 Epi      B Epilobium
   59 Fabae.ud B Fabaceae undiff.
   60 Gnt      B Gentianella
   61 Hel      B Heliotropium
   62 Hyp      B Hypericum
   63 Imp      B Impatiens
   64 Iva      B Iva
   65 Jas      B Jasione
   66 Prn      B Parnassia
   67 Plnae.ud B Plantaginaceae undiff.
