# GPD ASCII Format
# 16 Sep 04
# Raw Counts - All Pollen Types
#
# ***********************************************************************
# ** When using these data please acknowledge the contributors and the **
# ** North American Pollen Database.                                   **
# ***********************************************************************
#
# Site name:      Copley Lake
# Place:          USA:Colorado
# Latitude:       38.52.20N      (  38.872222)
# Longitude:      107.04.57W     (-107.0825  )
# Elevation(m):   3250
# Sigle:          COPLEY
# Entity name:
# Contact person: Fall, P.L.
#
# Radiocarbon dates:
#   Depth   Thk     Age   SDup   SDlo  Lab no.    Basis  Material
#    30.0    10    1570    150    150  A-4479       U    bulk sediment
#    67.0    10    5690    150    150  A-4480       U    bulk sediment
#   107.0    10    6900    220    220  GX-7906      U    bulk sediment
#   130.0    10    8210    355    355  GX-12995     U    bulk sediment
#   160.0    10   10325    465    465  GX-12996     U    bulk sediment
#   186.0    10   12810    750    750  GX-12997     U    bulk sediment
#   217.0    10   15370    880    880  GX-7907      U    bulk sediment
# Dating notes:   probably contaminated with old carbon
#                 probably contaminated with old carbon
#
# Chron name:     NAPD1-C14
# Age model:      linear interpolation
# Age bounds:     -30 - 10330
# Chron notes:    Chron uses top plus 7 radiocarbon dates.
#
# Age basis:
#   Depth   Thk     Age  AgeUp  AgeLo  RCode
#      .5     1       0      5     -5   TOP
#    30.0    10    1570   1720   1420   C14
#    67.0    10    5690   5840   5540   C14
#   107.0    10    6900   7120   6680   C14
#   130.0    10    8210   8565   7855   C14
#   160.0    10   10325  10790   9860   C14
#   186.0    10   12810  13560  12060   C14
#   217.0    10   15370  16250  14490   C14
#
# Publications:   Fall, P.L. 1995. Vegetation dynamics in the southern Rocky
#                 Mountains: late Pleistocene and Holocene timberline
#                 fluctuations. Dissertation. University of Arizona, Tucson,
#                 Arizona, USA.
#
#                 Fall, P.L. 1997. Timberline fluctuations and late Quaternary
#                 paleoclimates in the southern Rocky Mountains, Colorado.
#                 Geological Society of America Bulletin 109:1306-1320.
#
97 60
    1 Abi      A Abies
    2 Ace      A Acer
    3 Aln      A Alnus
    4 Arc      A Arceuthobium
    5 Bet      A Betula
    6 Cea      A Ceanothus
    7 Crc-t    A Cercocarpus-type
    8 Crn      A Cornus
    9 Cor      A Corylus
   10 Eph.tr-t A Ephedra trifurca-type
   11 Eph.vi-t A Ephedra viridis-type
   12 Ercae    A Ericaceae
   13 Fra      A Fraxinus
   14 Jug      A Juglans
   15 Jun      A Juniperus
   16 Lon      A Lonicera
   17 Pic      A Picea
   18 Pin      A Pinus
   19 Pop      A Populus
   20 Psu      A Pseudotsuga
   21 Que      A Quercus
   22 Rib.mo   A Ribes montigenum
   23 Slx      A Salix
   24 Sar.ve   A Sarcobatus vermiculatus
   25 She.c    A Shepherdia canadensis
   26 Amb      B Ambrosia
   27 Apiae    B Apiaceae
   28 Art      B Artemisia
   29 Astae.Ci B Asteraceae subf. Cichorioideae
   30 Astae.ud B Asteraceae undiff.
   31 Braae    B Brassicaceae
   32 Cryae    B Caryophyllaceae
   33 Ch/Am.ud B Chenopodiaceae/Amaranthaceae undiff.
   34 Crm      B Cirsium
   35 Cypae    B Cyperaceae
   36 Del      B Delphinium
   37 Dry      B Dryas
   38 Erg      B Eriogonum
   39 Fabae    B Fabaceae
   40 Gal      B Galium
   41 Ger      B Geranium
   42 Geu      B Geum
   43 Gil      B Gilia
   44 Hol-t    B Holodiscus-type
   45 Koe.is   B Koenigia islandica
   46 Lamae    B Lamiaceae
   47 Lilae    B Liliaceae
   48 Mlvae    B Malvaceae
   49 Mmu.g    B Mimulus guttatus
   50 Ongae    B Onagraceae
   51 Ped.co-t B Pedicularis contorta-type
   52 Ped.gr-t B Pedicularis groenlandica-type
   53 Pln.la   B Plantago lanceolata
   54 Pln.ud   B Plantago undiff.
   55 Poaae    B Poaceae
   56 Pom      B Polemonium
   57 Pol.bi   B Polygonum bistortoides
   58 Pol.ud   B Polygonum undiff.
   59 Ptl      B Potentilla
   60 Priae    B Primulaceae
   61 Ran      B Ranunculus
   62 Rosae.ud B Rosaceae undiff.
   63 Rum      B Rumex
   64 Sax      B Saxifraga
   65 Scrae.ud B Scrophulariaceae undiff.
   66 Sph-t    B Sphaeralcea-type
