# GPD ASCII Format
# 24 Apr 00
# Raw Counts - All Pollen Types
#
# ****************************************************************
# ** Please acknowledge the contributors and the North American **
# ** Pollen Database when using these data.                     **
# ****************************************************************
#
# Site name:      Jackson Pond
# Place:          USA:Kentucky
# Latitude:       37.27.00N      (  37.45    )
# Longitude:      85.43.00W      ( -85.716667)
# Elevation(m):   212
# Sigle:          JACKSON
# Entity name:    core 83-B
# Contact person: Wilkins, G.R.
#
# Radiocarbon dates:
#   Depth   Thk     Age   SDup   SDlo  Lab no.    Basis  Material
#   133.0    10     120     50     50  A-3870       G    fibrous peat
#   160.5    11     940     80     80  A-3871       G    organic silty clay
#   220.5    11   10040    190    190  A-3872       G    organic silty clay
#   270.0    14   11860    250    250  A-3873       G    organic silty clay
#   510.0    10   17750    270    270  A-3874       G    silty clay
#   705.0    10   20330    630    630  A-3875       G    silty clay
#
# Chron name:     Wilkins et al. 1991
# Age model:      linear interpolation
# Age bounds:     -30 - 20460
# Chron notes:    Ages extrapolated beyond last C-14 date based on deposition
#                 time between last two C14 dates.
#
# Age basis:
#   Depth   Thk     Age  AgeUp  AgeLo  RCode
#    93.0     0     -33    -33    -33   TOP
#   133.0    10     120    170     70   C14
#   160.5    11     940   1020    860   C14
#   220.5    11   10040  10230   9850   C14
#   270.0    14   11860  12110  11610   C14
#   510.0    10   17750  18020  17480   C14
#   705.0    10   20330  20960  19700   C14
#
# Publications:   Wilkins, G.R., P.A. Delcourt, H.R. Delcourt, F.W. Harrison,
#                 and M.R. Turner. 1991. Paleoecology of central Kentucky
#                 since the last glacial maximum. Quaternary Research
#                 36:224-239.
#
#                 Wilkins, G.R. 1985. Late-quaternary vegetational history at
#                 Jackson Pond, Larue County, Kentucky. Thesis. The University
#                 of Tennessee, Knoxville, Tennessee, USA.
#
115 58
    1 Abi      A Abies
    2 Ace.ne   A Acer negundo
    3 Ace.pe   A Acer pensylvanicum
    4 Ace.ru   A Acer rubrum
    5 Ace.sc   A Acer saccharinum
    6 Ace.sa   A Acer saccharum
    7 Ace.sp   A Acer spicatum
    8 Aln.i-t  A Alnus incana-type
    9 Aln.v    A Alnus viridis
   10 Ame-t    A Amelanchier-type
   11 Bet      A Betula
   12 Car      A Carya
   13 Cas      A Castanea
   14 Ce/Ma    A Celtis/Maclura
   15 Cep      A Cephalanthus
   16 Crn.ca-t A Cornus canadensis-type
   17 Crn.fl   A Cornus florida
   18 Cor      A Corylus
   19 Cupae    A Cupressaceae
   20 Fag      A Fagus
   21 Fra.ni-t A Fraxinus nigra-type
   22 Fra.pe-t A Fraxinus pennsylvanica-type
   23 Fra.ud   A Fraxinus undiff.
   24 Ilx      A Ilex
   25 Ite      A Itea
   26 Jug.c    A Juglans cinerea
   27 Jug.n    A Juglans nigra
   28 Jug.ud   A Juglans undiff.
   29 Lar      A Larix
   30 Liq      A Liquidambar
   31 Lir      A Liriodendron
   32 Mag      A Magnolia
   33 Nys      A Nyssa
   34 Os/Ca    A Ostrya/Carpinus
   35 Pic      A Picea
   36 Pin.Pi   A Pinus subg. Pinus
   37 Pin.St   A Pinus subg. Strobus
   38 Pla      A Platanus
   39 Pop      A Populus
   40 Pru      A Prunus
   41 Que      A Quercus
   42 Slx      A Salix
   43 Sam      A Sambucus
   44 Spi      A Spiraea
   45 Til      A Tilia
   46 Tsu      A Tsuga
   47 Ulm      A Ulmus
   48 Vib.o-t  A Viburnum opulus-type
   49 Ach-t    B Achillea-type
   50 Amb-t    B Ambrosia-type
   51 Apiae    B Apiaceae
   52 Art      B Artemisia
   53 Astae.Ci B Asteraceae subf. Cichorioideae
   54 Bid-t    B Bidens-type
   55 Cal-t    B Caltha-type
