# GPD ASCII Format
# 24 Apr 00
# Raw Counts - All Pollen Types
#
# ****************************************************************
# ** Please acknowledge the contributors and the North American **
# ** Pollen Database when using these data.                     **
# ****************************************************************
#
# Site name:      Lac à Magie
# Place:          CAN:Nova Scotia
# Latitude:       44.15.50N      (  44.263889)
# Longitude:      66.04.45W      ( -66.079167)
# Elevation(m):   60
# Sigle:          LACMAGIE
# Entity name:
# Contact person: Mayle, F.E.
#
# Radiocarbon dates:
#   Depth   Thk     Age   SDup   SDlo  Lab no.    Basis  Material
#   809.0     6    9280     90     90  TO-1432      A    Betulaceae frts, Lrx l
#   841.5     2   10090     90     90  TO-1434      A    twig fragments
#   856.0     1   10480     80     80  TO-1433      A    twig fragments
#   890.0     4   12140     90     90  TO-1431      A    Betuaceae frts & catki
#
# Chron name:     NAPD 1
# Age model:      linear interpolation
# Age bounds:     9180 - 12440
# Chron notes:    Chron uses four C14 dates.
#
# Age basis:
#   Depth   Thk     Age  AgeUp  AgeLo  RCode
#   809.0     6    9280   9460   9100   C14
#   841.5     1   10090  10270   9910   C14
#   856.0     1   10480  10640  10320   C14
#   890.0     4   12140  12320  11960   C14
#
# Publications:   Mayle, F.E., and L.C. Cwynar. 1995. A review of multi-proxy
#                 data for the Younger Dryas in Atlantic Canada. Quaternary
#                 Science Reviews 14:813-821.
#
#                 Mayle, F.E., and L.C. Cwynar. 1995. Impact of the younger
#                 Dryas cooling event upon lowland vegetation of Maritime
#                 Canada. Ecological Monographs 65:129-154.
#
#                 Mayle, F.E., A.J. Levesque, and L.C. Cwynar. 1993.
#                 Accelerator-Mass-Spectrometer ages for the Younger Dryas
#                 event in Atlantic Canada. Quaternary Research 39:355-360.
#
101 43
    1 Abi      A Abies
    2 Ace.ru   A Acer rubrum
    3 Ace.sa   A Acer saccharum
    4 Ace.ud   A Acer undiff.
    5 Aln.i    A Alnus incana
    6 Aln.ud   A Alnus undiff.
    7 Aln.v    A Alnus viridis
    8 Bet      A Betula
    9 Car      A Carya
   10 Cas      A Castanea
   11 Cel      A Celtis
   12 Cor      A Corylus
   13 Cupae    A Cupressaceae
   14 Emp      A Empetrum
   15 Ercae    A Ericaceae
   16 Fag      A Fagus
   17 Fra.am   A Fraxinus americana
   18 Fra.ni   A Fraxinus nigra
   19 Ilx      A Ilex
   20 Jug.c    A Juglans cinerea
   21 Lar      A Larix
   22 Myr      A Myrica
   23 Nys      A Nyssa
   24 Os/Ca    A Ostrya/Carpinus
   25 Pic.gl   A Picea glauca
   26 Pic.ma   A Picea mariana
   27 Pic.ud   A Picea undiff.
   28 Pin.ba-t A Pinus banksiana-type
   29 Pin.st   A Pinus strobus
   30 Pin.ud   A Pinus undiff.
   31 Pop.ba   A Populus balsamifera
   32 Pop.tr   A Populus tremuloides
   33 Pop.ud   A Populus undiff.
   34 Que      A Quercus
   35 Rha.f    A Rhamnus frangula
   36 Slx      A Salix
   37 She.c    A Shepherdia canadensis
   38 Tsu.c    A Tsuga canadensis
   39 Ulm      A Ulmus
   40 Vib      A Viburnum
   41 Amb      B Ambrosia
   42 Apiae    B Apiaceae
   43 Art      B Artemisia
   44 Astae.Au B Asteraceae subf. Asteroideae undiff.
   45 Astae.Ci B Asteraceae subf. Cichorioideae
   46 Braae    B Brassicaceae
   47 Cryae    B Caryophyllaceae
   48 Ch/Am    B Chenopodiaceae/Amaranthaceae
   49 Cypae    B Cyperaceae
   50 Dry      B Dryas
   51 Epi      B Epilobium
   52 Fabae    B Fabaceae
   53 Hum      B Humulus
   54 Lamae    B Lamiaceae
   55 Lnn.b    B Linnaea borealis
   56 Poaae    B Poaceae
   57 Pol      B Polygonum
   58 Ranae.ud B Ranunculaceae undiff.
   59 Rum      B Rumex
   60 Ru/Ox.ud B Rumex/Oxyria digyna undiff.
   61 San.ca   B Sanguisorba canadensis
   62 Tha      B Thalictrum
   63 Urt      B Urtica
   64 Adi      F Adiantum
   65 Ath      F Athyrium
   66 Bot.s-t  F Botrychium simplex-type
   67 Bot.ud   F Botrychium undiff.
   68 Bot.v    F Botrychium virginianum
   69 Dph.c    F Diphasiastrum complanatum
   70 Drp-t    F Dryopteris-type
   71 Equ      F Equisetum
   72 Hup.l    F Huperzia lucidula
