# GPD ASCII Format
# 24 Apr 00
# Raw Counts - All Pollen Types
#
# ****************************************************************
# ** Please acknowledge the contributors and the North American **
# ** Pollen Database when using these data.                     **
# ****************************************************************
#
# Site name:      Mohawk Pond
# Place:          USA:Connecticut
# Latitude:       41.49.00N      (  41.816667)
# Longitude:      73.17.00W      ( -73.283333)
# Elevation(m):   360
# Sigle:          MOHAWK
# Entity name:
# Contact person: Webb, T. III
#
# Radiocarbon dates:
#   Depth   Thk     Age   SDup   SDlo  Lab no.    Basis  Material
#   186.5    11    1920     80     80  WIS-1719     G    gyttja
#   287.5    11    2820     80     80  WIS-1720     G    gyttja
#   352.5     5    3270     70     70  WIS-1452     G    gyttja
#   481.0     8    4880     80     80  WIS-1721     G    gyttja
#   582.5     5    5562     70     70  WIS-1453     G    gyttja
#   634.0     8    6140     90     90  WIS-1722     G    gyttja
#   722.5     5    7220     80     80  WIS-1483     G    gyttja
#   854.0     8    8320    100    100  WIS-1723     G    gyttja
#   922.5     5    8560     90     90  WIS-1484     G    gyttja
#  1053.5     5    9640    100    100  WIS-1485     G    gyttja
#  1126.0     8    9840    100    100  WIS-1724     G    gyttja
#  1181.0     4   12460    110    110  WIS-1405     G    gyttja
#  1279.0     6   13490    150    150  WIS-1725     G    gyttja
#
# Chron name:     NAPD 1
# Age model:      5th order polynomial
# Age bounds:     200 - 15780
# Chron notes:    Fit 5th order polynomial to 13 C14 dates, Amb-rise (200 BP),
#                 and extrapolated basal date (from bottom 2 C14 dates).
#                 Polynomial smooths out apparent C14 plateaus at ca. 10ka.
#                 Coefs: 200.0, 2.43088, 0.0457187, -9.4108e-05, 7.59842e-08,
#                 -2.07928e-11.
#
# Age basis:
#   Depth   Thk     Age  AgeUp  AgeLo  RCode
#    10.0     0     200    250    150   AMR
#   186.5    11    1920   2000   1840   C14
#   287.5    11    2820   2900   2740   C14
#   352.5     5    3270   3340   3200   C14
#   481.0     8    4880   4960   4800   C14
#   582.5     5    5562   5632   5492   C14
#   634.0     8    6140   6230   6050   C14
#   722.5     5    7220   7300   7140   C14
#   854.0     8    8320   8420   8220   C14
#   922.5     5    8560   8650   8470   C14
#  1053.5     5    9640   9740   9540   C14
#  1126.0     8    9840   9940   9740   C14
#  1181.0     4   12460  12570  12350   C14
#  1279.0     6   13490  13790  13190   C14
#  1490.0     0   15700  16200  15200   EXT
#
# Publications:   Steventon, R.L., and J.E. Kutzbach. 1983. University of
#                 Wisconsin radiocarbon dates XX. Radiocarbon 25:152-168.
#
#                 Steventon, R.L., and J.E. Kutzbach. 1986. University of
#                 Wisconsin radiocarbon dates XXIII. Radiocarbon 28:1206-1223.
#
#                 Gaudreau, D.C. 1986. Late-Quaternary vegetational history of
#                 the northeast: paleoecological implications of topographic
#                 patterns in pollen distributions. Dissertation. Yale
#                 University, New Haven, Connecticut, USA.
#
#                 Steventon, R.L., and J.E. Kutzbach. 1984. University of
#                 Wisconsin radiocarbon dates XXI. Radiocarbon 26:135-147.
#
101 50
    1 Abi      A Abies
    2 Ace.ne   A Acer negundo
    3 Ace.ru   A Acer rubrum
    4 Ace.sc-t A Acer saccharinum-type
    5 Ace.sa-t A Acer saccharum-type
    6 Ace.ud   A Acer undiff.
    7 Aln      A Alnus
    8 Bet      A Betula
    9 Capae.ud A Caprifoliaceae undiff.
   10 Car      A Carya
   11 Cas      A Castanea
   12 Cel      A Celtis
   13 Cep      A Cephalanthus
   14 Crn      A Cornus
   15 Cor      A Corylus
   16 Cupae    A Cupressaceae
   17 Ercae    A Ericaceae
   18 Fag      A Fagus
   19 Fra.c4   A Fraxinus (tetracolpate)
   20 Fra.c3   A Fraxinus (tricolpate)
   21 Fra.ud   A Fraxinus undiff.
   22 Ilx      A Ilex
   23 Jug.c    A Juglans cinerea
   24 Jug.n    A Juglans nigra
   25 Lar      A Larix
   26 Liq      A Liquidambar
   27 Mor      A Morus
   28 Myr      A Myrica
   29 Nys      A Nyssa
   30 Os/Ca    A Ostrya/Carpinus
   31 Pic      A Picea
   32 Pin.Pi   A Pinus subg. Pinus
   33 Pin.St   A Pinus subg. Strobus
   34 Pin.ud   A Pinus undiff.
   35 Pla      A Platanus
   36 Pop      A Populus
   37 Que      A Quercus
   38 Rhaae    A Rhamnaceae
   39 Rhu      A Rhus
   40 Slx      A Salix
   41 Sam      A Sambucus
   42 Txs      A Taxus
   43 Til      A Tilia
   44 trees.ud A Trees undiff.
   45 Tsu      A Tsuga
   46 Ulm      A Ulmus
   47 Vib      A Viburnum
   48 Amb-t    B Ambrosia-type
   49 Apiae    B Apiaceae
   50 Art      B Artemisia
   51 Astae.Au B Asteraceae subf. Asteroideae undiff.
   52 Braae    B Brassicaceae
   53 Canae    B Cannabaceae
   54 Cryae    B Caryophyllaceae
   55 Ch/Am.ud B Chenopodiaceae/Amaranthaceae undiff.
   56 Cypae    B Cyperaceae
   57 Gal      B Galium
   58 Iva.x-t  B Iva xanthifolia-type
   59 Oxy.d    B Oxyria digyna
   60 Pln      B Plantago
   61 Poaae    B Poaceae
   62 Rosae    B Rosaceae
   63 Rum      B Rumex
   64 Sal      B Salsola
   65 Scrae    B Scrophulariaceae
   66 Tha      B Thalictrum
   67 Urt-t    B Urtica-type
   68 Xan      B Xanthium
   69 Adi      F Adiantum
   70 Ath      F Athyrium
   71 Bot      F Botrychium
   72 Dph.c-t  F Diphasiastrum complanatum-type
   73 Drp-t    F Dryopteris-type
   74 Equ      F Equisetum
   75 Hup.l    F Huperzia lucidula
   76 Lycae.ud F Lycopodiaceae undiff.
   77 Lyc.a    F Lycopodium annotinum
   78 Lyc.o    F Lycopodium obscurum
   79 Osu      F Osmunda
   80 Ptr-t    F Pteridium-type
   81 Spg      M Sphagnum
   82 Brs.s    Q Brasenia schreberi
   83 Dro      Q Drosera
   84 Iso      Q Isoëtes
   85 Myp      Q Myriophyllum
   86 Nup      Q Nuphar
   87 Nym      Q Nymphaea
   88 Ponae    Q Pontederiaceae
   89 Pot      Q Potamogeton
   90 Sag      Q Sagittaria
   91 Src      Q Sarracenia
   92 Spa-t    Q Sparganium-type
   93 Typ.l    Q Typha latifolia
   94 sp.m     S Spore (monolete)
   95 sp.t     S Spore (trilete)
   96 ind.br   X Indeterminable (broken)
   97 ind.cr   X Indeterminable (crumpled)
   98 ind.de   X Indeterminable (degraded)
   99 ind.hi   X Indeterminable (hidden)
  100 unk      X Unknown
  101 Euc.spik - Eucalyptus spike (number counted)
10, , 200
     0.0     0.0     6.0     3.0     6.0     1.0    14.0    80.0     0.0     8.0
    60.0     0.0     0.0     0.0     0.0     4.0     1.0    16.0     6.0     2.0
     1.0     0.0     5.0     2.0     0.0     0.0     0.0     1.0     0.0     7.0
     3.0     2.0     1.0    29.0     0.0     4.0   146.0     0.0     1.0     0.0
     0.0     0.0     0.0     0.0    14.0     5.0     0.0    23.0     0.0     0.0
     7.0     0.0     0.0     0.0     1.0     9.0     0.0     0.0     0.0     1.0
    32.0     0.0    16.0     1.0     0.0     0.0     0.0     1.0     0.0     0.0
     0.0     0.0     2.0     0.0     0.0     0.0     0.0     0.0     3.0     4.0
     0.0     1.0     0.0     0.0     0.0     0.0     1.0     0.0     2.0     0.0
     0.0     0.0     0.0     1.0     1.0     2.0     0.0     4.0     0.0     3.0
   295.0
50, , 365
     0.0     0.0     1.0     0.0     9.0     1.0    16.0    72.0     0.0    20.0
    66.0     0.0     0.0     0.0     0.0     3.0     1.0    33.0     8.0    12.0
     0.0     3.0     2.0     1.0     0.0     0.0     0.0     2.0     0.0     6.0
     2.0     2.0    10.0    31.0     2.0     0.0   174.0     0.0     0.0     0.0
     0.0     1.0     0.0     0.0    27.0    13.0     1.0     0.0     0.0     0.0
     1.0     0.0     0.0     0.0     0.0    14.0     1.0     0.0     0.0     0.0
     0.0     1.0     0.0     0.0     0.0     2.0     0.0     0.0     0.0     0.0
     0.0     0.0     5.0     0.0     0.0     0.0     0.0     0.0     7.0    10.0
     5.0     0.0     0.0     0.0     0.0     2.0     3.0     0.0     3.0     0.0
     0.0     0.0     0.0     0.0     0.0     3.0     3.0     2.0     1.0     4.0
   473.0
85, , 602
     0.0     0.0     0.0     0.0    12.0     0.0     6.0    59.0     0.0    16.0
    87.0     0.0     1.0     0.0     0.0     2.0     2.0    32.0     5.0     4.0
     2.0     3.0     1.0     0.0     0.0     1.0     0.0     0.0     0.0     7.0
     2.0     1.0     5.0    24.0     0.0     3.0   148.0     0.0     1.0     0.0
     0.0     0.0     1.0     0.0    30.0     2.0     0.0     0.0     0.0     0.0
     1.0     0.0     0.0     0.0     0.0    11.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     2.0     0.0     0.0     0.0     0.0
     0.0     0.0     2.0     0.0     1.0     0.0     0.0     0.0     1.0     2.0
     2.0     1.0     0.0     0.0     0.0     1.0     1.0     0.0     3.0     0.0
     0.0     0.0     0.0     0.0     0.0     1.0     1.0     2.0     0.0     0.0
   272.0
110, , 814
     0.0     0.0     2.0     2.0     9.0     1.0    12.0    88.0     0.0    26.0
   112.0     0.0     0.0     0.0     0.0     0.0     0.0    39.0    14.0     4.0
     0.0     1.0     1.0     0.0     0.0     0.0     0.0     2.0     1.0     8.0
     2.0     4.0    14.0    38.0     1.0     1.0   191.0     0.0     1.0     0.0
     0.0     0.0     0.0     0.0    27.0     7.0     1.0     2.0     0.0     0.0
     2.0     0.0     0.0     0.0     0.0    12.0     0.0     0.0     0.0     0.0
     0.0     3.0     0.0     0.0     0.0     2.0     0.0     0.0     0.0     0.0
     0.0     0.0     3.0     0.0     0.0     0.0     0.0     0.0     0.0     3.0
     1.0     1.0     0.0     0.0     0.0     0.0     2.0     0.0     0.0     0.0
     1.0     1.0     0.0     0.0     0.0     1.0     3.0     2.0     2.0     1.0
   369.0
140, , 1103
     0.0     0.0     2.0     1.0    10.0     1.0    11.0    62.0     0.0    17.0
    61.0     0.0     0.0     0.0     0.0     3.0     2.0    18.0     4.0     6.0
     0.0     1.0     0.0     0.0     0.0     0.0     1.0     2.0     0.0     6.0
     3.0     1.0     5.0    16.0     0.0     1.0   177.0     0.0     0.0     0.0
     0.0     1.0     0.0     0.0    11.0     4.0     0.0     1.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0    15.0     0.0     0.0     0.0     0.0
     1.0     0.0     0.0     0.0     0.0     1.0     0.0     0.0     1.0     0.0
     0.0     0.0     2.0     0.0     0.0     0.0     0.0     0.0     3.0     5.0
     0.0     3.0     0.0     0.0     0.0     0.0     0.0     0.0     4.0     0.0
     0.0     0.0     0.0     0.0     0.0     3.0     1.0     3.0     2.0     1.0
   238.0
190, , 1646
     0.0     0.0     2.0     1.0     3.0     0.0    13.0    91.0     0.0    14.0
    52.0     0.0     0.0     0.0     1.0     0.0     1.0    39.0     8.0     5.0
     1.0     3.0     4.0     1.0     0.0     0.0     0.0     0.0     0.0    10.0
     1.0     3.0     6.0    25.0     1.0     1.0    96.0     0.0     0.0     0.0
     0.0     1.0     1.0     0.0    20.0     7.0     0.0     0.0     0.0     0.0
     2.0     0.0     0.0     0.0     0.0    25.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     2.0     3.0
     1.0     4.0     0.0     0.0     0.0     1.0     0.0     0.0     2.0     0.0
