# GPD ASCII Format
# 24 Apr 00
# Raw Counts - All Pollen Types
#
# ****************************************************************
# ** Please acknowledge the contributors and the North American **
# ** Pollen Database when using these data.                     **
# ****************************************************************
#
# Site name:      North Pond
# Place:          USA:Massachusetts
# Latitude:       42.39.00N      (  42.65    )
# Longitude:      73.03.00W      ( -73.05    )
# Elevation(m):   586
# Sigle:          NORTHPND
# Entity name:
# Contact person: Whitehead, D.R.
#
# Radiocarbon dates:
#   Depth   Thk     Age   SDup   SDlo  Lab no.    Basis  Material
#    22.5          1760    165    165
#    73.5          3870    140    140
#    80.0          3580    245    245
#   117.5          4600    205    205
#   126.5          4280    160    160
#   217.0          7850    220    220
#   239.5          7380    185    185
#   276.5          8725    245    245
#   285.5          7860    245    245
#   332.0          9620     95     95
#   399.5          9100    265    265
#   465.0         10510    240    240
#   485.0         11600    280    280
#
# Chron name:     COHMAP chron# 2
# Age model:      linear interpolation
# Age bounds:     0 - 11000
# Chron notes:    5 averaged C-14 dates from chron001 to allow for linear
#                 interpolation. Age bounds for application of the model: top
#                 = 0; bottom = 11000.
#
# Age basis:
#   Depth   Thk     Age  AgeUp  AgeLo  RCode
#     0.0            20     70    -30   TOP
#     8.0           150    200    100   AMR
#    22.5          1760   1925   1595   C14
#    76.5          3725   4025   3425   CAV
#   121.5          4440   4740   4140   CAV
#   228.0          7615   7915   7315   CAV
#   280.5          8340   8640   8040   CAV
#   369.0          9360   9660   9060   CAV
#   465.0         10510  10750  10270   C14
#   485.0         11600  11880  11320   C14
#
# Publications:   Whitehead, D.R., and T.L. Crisman. 1978. Paleolimnological
#                 studies of small New England (U.S.A.) ponds. Part I.
#                 Late-glacial and postglacial trophic oscillations. Polskie
#                 Archiwum Hydrobiologii 25:471-481.
#
110 55
    1 Abi      A Abies
    2 Ace.ne   A Acer negundo
    3 Ace.pe   A Acer pensylvanicum
    4 Ace.ru   A Acer rubrum
    5 Ace.sc-t A Acer saccharinum-type
    6 Ace.sa-t A Acer saccharum-type
    7 Ace.sp   A Acer spicatum
    8 Aln      A Alnus
    9 Bet      A Betula
   10 Car      A Carya
   11 Cas      A Castanea
   12 Cel      A Celtis
   13 Cep      A Cephalanthus
   14 Cle      A Clethra
   15 Crn      A Cornus
   16 Cor      A Corylus
   17 Cupae    A Cupressaceae
   18 Ercae.ud A Ericaceae undiff.
   19 Fag      A Fagus
   20 Fra.c4   A Fraxinus (tetracolpate)
   21 Fra.c3   A Fraxinus (tricolpate)
   22 Ilx      A Ilex
   23 Jug.c    A Juglans cinerea
   24 Jug.n    A Juglans nigra
   25 Kal      A Kalmia
   26 Lar      A Larix
   27 Liq      A Liquidambar
   28 Myr      A Myrica
   29 Nys      A Nyssa
   30 Os/Ca    A Ostrya/Carpinus
   31 Pic      A Picea
   32 Pin.St   A Pinus subg. Strobus
   33 Pin.ud   A Pinus undiff.
   34 Pla      A Platanus
   35 Pop      A Populus
   36 Que      A Quercus
   37 Rhu      A Rhus
   38 Slx      A Salix
   39 Sam      A Sambucus
   40 Txs      A Taxus
   41 Til      A Tilia
   42 Tsu      A Tsuga
   43 Ulm      A Ulmus
   44 Vib      A Viburnum
   45 Vit      A Vitis
   46 Amb-t    B Ambrosia-type
   47 Apiae    B Apiaceae
   48 Art      B Artemisia
   49 Astae.ud B Asteraceae undiff.
   50 Braae    B Brassicaceae
   51 Canae    B Cannabaceae
   52 Cryae    B Caryophyllaceae
   53 Cer      B Cerealia
   54 Ch/Am    B Chenopodiaceae/Amaranthaceae
   55 Cypae    B Cyperaceae
   56 Dry-t    B Dryas-type
