# GPD ASCII Format
# 25 Mar 00
# Raw Counts - All Pollen Types
#
# ****************************************************************
# ** Please acknowledge the contributors and the North American **
# ** Pollen Database when using these data.                     **
# ****************************************************************
#
# Site name:      Poland Spring Pond
# Place:          USA:Maine
# Latitude:       44.02.00N      (  44.033333)
# Longitude:      70.21.00W      ( -70.35    )
# Elevation(m):   94
# Sigle:          POLAND
# Entity name:
# Contact person: Jacobson, G.L., Jr.
#
# Radiocarbon dates:
#   Depth   Thk     Age   SDup   SDlo  Lab no.    Basis  Material
#   402.5     7     135     50     50  SI-4888      G    gyttja
#   507.5     5    2040     80     80  SI-4879      G    gyttja
#   617.5     5    3545     75     75  SI-4880      G    gyttja
#   717.5     5    4850     90     90  SI-4881      G    gyttja
#   812.5     5    5310     95     95  SI-4882      G    gyttja
#   907.5     5    5430     95     95  SI-4883      G    gyttja
#   977.5     5    6460    110    110  SI-4884      G    gyttja
#  1072.5     5    8055    100    100  SI-4885      G    gyttja
#  1157.5     5    9400    120    120  SI-4886      G    gyttja
#  1247.5     5   10915    100    100  SI-4887      G    organic silt
#  1305.0    30   12860    325    325  SI-4656      G    sand
#
# Chron name:     Jacobson et al. (MS)
# Age model:      linear interpolation
# Age bounds:     -30 - 13030
# Chron notes:    Follows Jacobson et al. (MS).
#
# Age basis:
#   Depth   Thk     Age  AgeUp  AgeLo  RCode
#   335.0     0     -30      0    -30   TOP
#   390.0    10     200    250    150   ESH
#   507.5     5    2040   2120   1960   C14
#   617.5     5    3545   3620   3470   C14
#   717.5     5    4850   4940   4760   C14
#   812.5     5    5310   5405   5215   C14
#   907.5     5    5430   5525   5335   C14
#   977.5     5    6460   6570   6350   C14
#  1072.5     5    8055   8155   7955   C14
#  1157.5     5    9400   9520   9280   C14
#  1247.5     5   10915  11015  10815   C14
#  1305.0    30   12860  13185  12535   C14
#
# Publications:   Jacobson, G.L., Jr., R.B. Davis, R.S. Anderson, M. Tolonen,
#                 and R. Stuckenrath, Jr. (n.d.) Post-glacial vegetation of
#                 the coastal lowlands of Maine. Unpublished manuscript.
#
104 53
    1 Abi      A Abies
    2 Ace.ne   A Acer negundo
    3 Ace.pe   A Acer pensylvanicum
    4 Ace.ru   A Acer rubrum
    5 Ace.sc-t A Acer saccharinum-type
    6 Ace.sa   A Acer saccharum
    7 Ace.ud   A Acer undiff.
    8 Aln.i    A Alnus incana
    9 Aln.ud   A Alnus undiff.
   10 Aln.v-t  A Alnus viridis-type
   11 Bet      A Betula
   12 Car      A Carya
   13 Cas      A Castanea
   14 Cel      A Celtis
   15 Cep      A Cephalanthus
   16 Crn      A Cornus
   17 Cor      A Corylus
   18 Cupae    A Cupressaceae
   19 Ercae    A Ericaceae
   20 Fag      A Fagus
   21 Fra.pe-t A Fraxinus pennsylvanica-type
   22 Fra.ud   A Fraxinus undiff.
   23 Il/Ne    A Ilex/Nemopanthus
   24 Jug      A Juglans
   25 Lar      A Larix
   26 Liq      A Liquidambar
   27 Mor      A Morus
   28 Myr      A Myrica
   29 Nys      A Nyssa
   30 Os/Ca    A Ostrya/Carpinus
   31 Pic      A Picea
   32 Pin.b/r  A Pinus banksiana/P. resinosa
   33 Pin.st   A Pinus strobus
   34 Pin.ud   A Pinus undiff.
   35 Pop      A Populus
   36 Pru      A Prunus
   37 Que      A Quercus
   38 Slx      A Salix
   39 Sam      A Sambucus
   40 She.c    A Shepherdia canadensis
   41 Til      A Tilia
   42 Tsu      A Tsuga
   43 Ulm      A Ulmus
   44 Amb      B Ambrosia
   45 Apiae    B Apiaceae
   46 Art      B Artemisia
   47 Astae.Au B Asteraceae subf. Asteroideae undiff.
   48 Astae.Ci B Asteraceae subf. Cichorioideae
   49 Braae    B Brassicaceae
   50 Camae    B Campanulaceae
   51 Cryae    B Caryophyllaceae
   52 Ch/Am    B Chenopodiaceae/Amaranthaceae
   53 Cypae    B Cyperaceae
   54 Dal      B Dalea
   55 Dry      B Dryas
   56 Epi      B Epilobium
   57 Fgp      B Fagopyrum
   58 Hum      B Humulus
   59 Iva.ud   B Iva undiff.
   60 Iva.x-t  B Iva xanthifolia-type
   61 Lamae    B Lamiaceae
   62 Poaae    B Poaceae
   63 Pol      B Polygonum
