# GPD ASCII Format
# 24 Apr 00
# Raw Counts - All Pollen Types
#
# ****************************************************************
# ** Please acknowledge the contributors and the North American **
# ** Pollen Database when using these data.                     **
# ****************************************************************
#
# Site name:      Rogers Lake
# Place:          USA:Connecticut
# Latitude:       41.22.00N      (  41.366667)
# Longitude:      72.07.00W      ( -72.116667)
# Elevation(m):   91
# Sigle:          ROGERSLK
# Entity name:    core ROG-2
# Contact person: Davis, M.B.
# Entity notes:   Data sheets recieved from Davis contain ambiguities and
#                 inconsistencies. A few values had to be deduced from
#                 published diagrams (see level 3, 22.5 cm) and from
#                 incomplete calculations on the data sheets (see hard copies
#                 of data in file folder to isolat...
#
# Radiocarbon dates:
#   Depth   Thk     Age   SDup   SDlo  Lab no.    Basis  Material
#     4.5     5     630     60     60  Y-1678       G
#    45.0     6     760     60     60  Y-1677       G
#   109.0     6    1640     60     60  Y-1676       G
#   169.5     5    2210     80     80  Y-1675       G
#   229.5     5    2660     80     80  Y-1674       G
#   287.5     5    3220     80     80  Y-1673       G
#   346.5     5    3570     80     80  Y-1672       G
#   406.5     5    4120     80     80  Y-1671       G
#   469.5     5    4550     80     80  Y-1670       G
#   529.5     5    4990     80     80  Y-1669       G
#   544.5     5    5240     90     90  Y-1749       G
#   559.5     5    5710     80     80  Y-1722       G
#   574.5     5    5330     80     80  Y-1748       G
#   588.5     5    5500    100    100  Y-1668       G
#   604.5     5    5390     60     60  Y-1747       G
#   619.5     5    5680     60     60  Y-1721       G
#   651.5     5    5940    120    120  Y-1667       G
#   669.5     5    5930     60     60  Y-1720       G
#   695.0     6    6260    120    120  Y-1666       G
#   706.5     5    7320    120    120  Y-1454       G
#   711.5     5    6410     60     60  Y-1746       G
#   716.5     5    6820    100    100  Y-1745       G
#   721.5     5    6860     60     60  Y-1696       G
#   726.5     5    7050    100    100  Y-1744       G
#   732.5     5    7290     60     60  Y-1679       G
#   741.5     5    7550     80     80  Y-1743       G
#   744.0     4    7700    120    120  Y-1693       G
#   756.5     5    7980     60     60  Y-1695       G
#   760.5     5    7810     80     80  Y-1692       G
#   766.5     5    8320     80     80  Y-1742       G
#   771.5     5    8370     80     80  Y-1741       G
#   776.5     5    8670     60     60  Y-1694       G
#   781.5     5    8460    120    120  Y-1740       G
#   786.5     5    8460    120    120  Y-1453       G
#   791.5     5    8750    140    140  Y-1739       G
#   814.0     6    8900    160    160  Y-1452       G
#   825.5     5    9190    160    160  Y-1728       G
#   836.0     6    9050    100    100  Y-1738       G
#   854.0     6    9120    120    120  Y-1726       G
#   860.0     6    9010    160    160  Y-1451       G
#   865.5     5    9140     80     80  Y-1725       G
#   871.0     6    9630    120    120  Y-1450       G
#   877.0     6    9520     80     80  Y-1724       G
#   883.0     6    9660    120    120  Y-1449       G
#   889.0     6    9500    140    140  Y-1723       G
#   900.5     5    9950    200    200  Y-1448       G
#   920.5     5   10510    160    160  Y-947        G    gyttja
#   946.0     6   10740    170    170  Y-943        G    gyttja
#   974.5    13   11680    180    180  Y-938/39     G    gyttja
#   993.5    13   12240    160    160  Y-936        G    gyttja
#  1030.0    10   12530    180    180  Y-958/59     G    gyttja
#  1052.5    15   13920    150    150  Y-954/55     G    gyttja
#  1070.0    20   14050    220    220  Y-952/53     G    gyttja
#  1090.0    20   15010    240    240  Y-950/51     G    gyttja
#
# Chron name:     COHMAP chron# 7
# Age model:      linear interpolation
# Age bounds:     0 - 15160
# Chron notes:    31 C-14 dates with ragweed rise set at 32 cm (initially to
#                 1% at 58 cm rise from 1 to 2.5 to 9.9% from 38 to 23 cm).
#                 Dates selected from 54 C-14 dates in chron001 with reversal
#                 deleted. Dates are uncorrected. Top 2 C-14 date from
#                 chron001 were deleted ...
#
# Age basis:
#   Depth   Thk     Age  AgeUp  AgeLo  RCode
#     0.0           -10     10    -30   TOP
#     7.5             0     30    -30   INT
#    32.0           200    250    150   AMR
#   109.0     6    1640   1700   1580   C14
#   169.5     5    2210   2290   2130   C14
#   229.5     5    2660   2740   2580   C14
#   287.5     5    3220   3300   3140   C14
#   346.5     5    3570   3650   3490   C14
#   406.5     5    4120   4200   4040   C14
#   469.5     5    4550   4630   4470   C14
#   529.5     5    4990   5070   4910   C14
#   544.5     5    5240   5330   5150   C14
#   619.5     5    5680   5740   5620   C14
#   695.0     6    6260   6380   6140   C14
#   716.5     5    6820   6920   6720   C14
#   721.5     5    6860   6920   6800   C14
#   726.5     5    7050   7150   6950   C14
#   732.5     5    7290   7350   7230   C14
#   741.5     5    7550   7630   7470   C14
#   744.0     4    7700   7820   7580   C14
#   766.5     5    8320   8400   8240   C14
#   771.5     5    8370   8450   8290   C14
#   791.5     5    8750   8890   8610   C14
#   814.0     6    8900   9060   8740   C14
#   854.0     6    9120   9240   9000   C14
#   877.0     6    9520   9600   9440   C14
#   900.5     5    9950  10150   9750   C14
#   920.5     5   10510  10670  10350   C14
#   974.5    13   11680  11860  11500   C14
#   993.5    13   12240  12400  12080   C14
#  1030.0    10   12530  12710  12350   C14
#  1052.5    15   13920  14070  13770   C14
#  1070.0    20   14050  14270  13830   C14
#  1090.0    20   15010  15250  14770   C14
#
# Publications:   Davis, M.B. 1967. Pollen accumulation rates at Rogers Lake,
#                 Connecticut, during late- and postglacial time. Review of
#                 Paleobotany and Palynology 2:219-230.
#
#                 Davis, M.B., and E.S. Deevey, Jr. 1964. Pollen accumulation
#                 rates: estimates from late-glacial sediment of Rogers Lake.
#                 Science 145:1293-1295.
#
#                 Davis, M.B. 1969. Climatic changes in southern Connecticut
#                 recorded by pollen deposition at Rogers Lake. Ecology
#                 50:409-422.
#
78 91
    1 Abi      A Abies
    2 Ace.ru   A Acer rubrum
    3 Ace.sa-t A Acer saccharum-type
    4 Ace.ud   A Acer undiff.
    5 Aln      A Alnus
    6 Bet      A Betula
    7 Car      A Carya
    8 Cas      A Castanea
    9 Cel      A Celtis
   10 Cep      A Cephalanthus
   11 Cor      A Corylus
   12 Cupae    A Cupressaceae
   13 Ercae    A Ericaceae
   14 Fag      A Fagus
   15 Fra      A Fraxinus
   16 Ilx      A Ilex
   17 Jug      A Juglans
   18 Lar      A Larix
   19 Lir      A Liriodendron
   20 Myr      A Myrica
   21 Nys      A Nyssa
   22 Os/Ca    A Ostrya/Carpinus
   23 Pic      A Picea
   24 Pin      A Pinus
   25 Pla      A Platanus
   26 Pop      A Populus
   27 Que      A Quercus
   28 Rhaae    A Rhamnaceae
   29 Rh/Vi.ud A Rhamnaceae/Vitaceae undiff.
   30 Slx      A Salix
   31 She.c    A Shepherdia canadensis
   32 Til      A Tilia
   33 trees.ud A Trees undiff.
   34 Tsu      A Tsuga
   35 Ulm      A Ulmus
   36 Vib      A Viburnum
   37 Amb-t    B Ambrosia-type
   38 Apiae    B Apiaceae
   39 Art      B Artemisia
   40 Astae.Au B Asteraceae subf. Asteroideae undiff.
   41 Astae.Ci B Asteraceae subf. Cichorioideae
   42 Cryae    B Caryophyllaceae
   43 Ch/Am    B Chenopodiaceae/Amaranthaceae
   44 Cypae    B Cyperaceae
   45 Dry-t    B Dryas-type
   46 Fabae    B Fabaceae
   47 Gal      B Galium
   48 Imp      B Impatiens
   49 Lilae    B Liliaceae
   50 Ongae    B Onagraceae
   51 Pln      B Plantago
   52 Poaae    B Poaceae
   53 Pol      B Polygonum
   54 Ptl-t    B Potentilla-type
   55 Ranae.ud B Ranunculaceae undiff.
   56 Rosae.ud B Rosaceae undiff.
   57 Rum      B Rumex
   58 Tha      B Thalictrum
   59 Drp-t    F Dryopteris-type
   60 Equ      F Equisetum
   61 Lyc-t    F Lycopodium-type
   62 Osu      F Osmunda
   63 Plp-t    F Polypodium-type
   64 Ptr-t    F Pteridium-type
   65 Ptrta.ud F Pteridophyta undiff.
   66 Spg      M Sphagnum
   67 Brs.s    Q Brasenia schreberi
   68 Eri      Q Eriocaulon
   69 Iso      Q Isoëtes
   70 Myp      Q Myriophyllum
   71 Nup      Q Nuphar
   72 Nym      Q Nymphaea
   73 Ponae    Q Pontederiaceae
   74 Pot      Q Potamogeton
   75 Sag      Q Sagittaria
   76 Ty/Sp    Q Typha/Sparganium
   77 sp       S Spore
   78 unk      X Unknown
7.5, , 0
     0.0    42.0     3.0     0.0   135.0    73.0    42.0    35.0     0.0    31.0
     0.0     3.0     7.0    31.0     0.0     7.0     3.0     0.0     0.0     3.0
     0.0    14.0     0.0    33.0     0.0     0.0   263.0     0.0     0.0     0.0
     0.0     0.0     0.0     7.0     7.0     0.0    76.0     0.0     0.0     3.0
     0.0     0.0     0.0    42.0     0.0     7.0     0.0     0.0     0.0     0.0
     0.0    87.0     3.0     0.0     0.0    21.0    21.0     0.0     0.0     0.0
     0.0     3.0     0.0     7.0    24.0     3.0     0.0     0.0     7.0     0.0
     0.0     7.0     7.0     0.0     0.0     7.0     0.0    21.0
17.5, , 79
     0.0     8.0     4.0     0.0   129.0    33.0    28.0    57.0     0.0    32.0
     0.0     0.0     0.0     4.0    21.0     4.0     0.0     0.0     0.0     6.0
     0.0     2.0     1.0    33.0     0.0     4.0   324.0     0.0     0.0     0.0
     0.0     0.0     0.0    19.0     6.0     0.0    66.0     0.0     0.0    30.0
     2.0     0.0     2.0    61.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0    34.0     0.0     0.0     0.0     0.0    13.0     2.0     0.0     0.0
     0.0    10.0     0.0     0.0    72.0    13.0     0.0     0.0     4.0     0.0
     0.0     2.0     0.0     0.0     0.0     4.0     0.0    25.0
22.5, , 119
     0.0    23.0     5.0     0.0   100.0    20.0    19.0    23.0     0.0    42.0
     0.0     0.0     0.0    19.0     8.0     0.0     0.0     0.0     0.0     5.0
     0.0     5.0     2.0    58.0     0.0     0.0   418.0     0.0     0.0     0.0
     0.0     0.0     0.0     9.0     4.0     0.0    79.0     0.0     0.0    23.0
     0.0     0.0     0.0    70.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0    25.0     0.0     0.0     0.0     5.0     9.0     0.0     0.0     0.0
     0.0    14.0     0.0     0.0    74.0     5.0     0.0     0.0     9.0     0.0
     5.0     0.0     0.0     0.0     0.0     5.0     0.0     9.0
32, , 200
     0.0    16.0     8.0     0.0   160.0    48.0    40.0    52.0     0.0     4.0
     0.0     0.0     0.0    24.0     8.0     8.0     0.0     0.0     0.0    16.0
     0.0    16.0     4.0    46.0     0.0     0.0   343.0     0.0     4.0     8.0
     0.0     4.0     0.0    12.0     4.0     0.0    20.0     0.0     0.0    32.0
     0.0     0.0     0.0     5.0     0.0     4.0     0.0     0.0     0.0     0.0
     0.0    16.0     0.0     0.0     0.0     4.0     4.0     4.0     0.0     0.0
     0.0    12.0     0.0     0.0    40.0     4.0     0.0     0.0     0.0     0.0
     0.0    16.0     0.0     0.0     0.0    12.0     0.0    50.0
37.5, , 293
     0.0    21.0     0.0     0.0   144.0    88.0    42.0    28.0     0.0     0.0
     0.0     0.0     7.0    10.0     7.0     7.0     0.0     0.0     0.0     0.0
     4.0     0.0     7.0    46.0     0.0     0.0   465.0     0.0     0.0     0.0
     0.0     0.0     0.0    21.0     7.0     0.0    10.0     0.0     0.0    25.0
     0.0     0.0     0.0    42.0     0.0     0.0     0.0     0.0     0.0     0.0
