# GPD ASCII Format
# 25 Mar 00
# Raw Counts - All Pollen Types
#
# *********************************************************
# ** Please acknowledge the contributors and the African **
# ** Pollen Database when using these data.              **
# *********************************************************
#
# Site name:      Rusaka Swamp
# Place:          BDI:
# Latitude:       3.26.00S       (  -3.433333)
# Longitude:      29.37.00E      (  29.616667)
# Elevation(m):   2070
# Sigle:          RUSAKA
# Entity name:    Core Ru-3
# Contact person: Bonnefille, R.
#
# Radiocarbon dates:
#   Depth   Thk     Age   SDup   SDlo  Lab no.    Basis  Material
#    95.0    10    1040    180    180  LGQ-635      L    peat
#   195.0    10    1650    150    150  LGQ-677      L    peat
#   295.0    10    2410    130    130  LGQ-540      L    peat
#   395.0    10    3910    130    130  LGQ-550      L    peat
#   495.0    10    5340    150    150  LGQ-636      L    peat
#   545.0    10    6580    140    140  LGQ-604      L    peat
#   595.0    10    7010    210    210  LGQ-1032     L    peat
#   695.0    10    7790    180    180  LGQ-551      L    peat
#   795.0    10    9100    190    190  LGQ-552      L    peat
#   840.5     1    9990    100    100  GIF-A91418   A    wood
#   895.0    10    9890    210    210  LGQ-553      L    peat
#   900.5     1   10290    140    140  GIF-A91414   A    plant debris
#   920.5     1   10290    100    100  GIF-A92299   A    wood
#   940.5     1   12200    140    140  GIF-         A    2nd extraction humic a
#   940.5     1   11720    140    140  GIF-         A    2nd extraction humin
#   941.5     1   11520    110    110  GIF-A91407   A    charcoal
#   945.0    10   11600    230    230  LGQ-637      L    organic silt
#   970.5     1   14450    170    170  GIF-         A    2nd extraction humic a
#   970.5     1   13450    150    150  GIF-         A    2nd extraction humin
#   970.5     1   13540    130    130  GIF-         A    3rd extraction humic a
#   970.5     1   11880    170    170  GIF-         A    3rd extraction humin
#   989.5     1   22030    240    240  GIF-         A    1st extraction humic a
#   989.5     1   21550    300    300  GIF-         A    2nd extraction humic a
#   989.5     1   20910    240    240  GIF-         A    2nd extraction humin
#   995.0    10   12260    210    210  LGQ-605      L    organic silt
#   995.5     1   11880    170    170  GIF-A92298   A    charcoal
#  1024.5     1   11480    390    390  GIF-A92309   A    plant debris
#  1045.0    10   25050   1240   1240  LGQ-680      L    organic silt
#  1046.5     1   34980    690    690  GIF-         A    1st extraction humic a
#  1046.5     1   34260    580    580  GIF-         A    2nd extraction humic a
#  1046.5     1   34080    650    650  GIF-         A    2nd extraction humin
#
# Chron name:     Bonnefille 1995-B
# Age model:      linear interpolation
# Age bounds:     790 - 11910
# Chron notes:    Age model according to hypothesis (B) in Bonnefille et al.
#                 (1995).
#
# Age basis:
#   Depth   Thk     Age  AgeUp  AgeLo  RCode
#    95.0    10    1040   1400    680   C14
#   195.0    10    1650   1950   1350   C14
#   295.0    10    2410   2670   2150   C14
#   395.0    10    3910   4170   3650   C14
#   495.0    10    5340   5640   5040   C14
#   545.0    10    6580   6860   6300   C14
#   595.0    10    7010   7430   6590   C14
#   695.0    10    7790   8150   7430   C14
#   795.0    10    9100   9480   8720   C14
#   840.5     1    9100   9480   8720   C14
#   900.5     1   10290  10490  10090   C14
#   941.5     1   11520  11740  11300   C14
#   952.0     0   12000  12500  11500   OTH
#  1000.0     0   21000  22000  20000   OTH
#  1046.5     1   34410  35150  33670   CAV
#
# Publications:   Bonnefille, R., G. Riollet, G. Buchet, M. Icole, R. Lafont,
#                 M. Arnold, and D. Jolly. 1995. Glacial/Interglacial record
#                 from intertropical Africa, high resolution pollen and carbon
#                 data at Rusaka, Burundi. Quaternary Science Reviews
#                 14:917-936.
#
179 141
    1 Acc.I    A Acacia (type I)
    2 Acc.III  A Acacia (type III)
    3 Acaae.ud A Acanthaceae undiff.
    4 Afr.v    A Afrocrania volkensii
    5 Alc      A Alchornea
    6 Alp      A Allophylus
    7 Anaae.ud A Anacardiaceae undiff.
    8 Anc      A Anthocleista
    9 Apd.d    A Apodytes dimidiata
   10 Bap.p    A Baphiopsis parviflora
   11 Brm.a    A Bersama abyssinica
   12 Bli.u    A Blighia unijugata
   13 Bch      A Brachystegia
   14 Brd      A Bridelia
   15 Cth.g    A Canthium gueinzii
   16 Cth.s    A Canthium schimperianum
   17 Css.m    A Cassia mimosoides
   18 Ce/Hi    A Celastraceae/Hippocrateaceae
   19 Cel      A Celtis
   20 Chy.b    A Chrysophyllum bangweolense
   21 Cln.a    A Clausena anisata
   22 Clf.n    A Cliffortia nitidula
   23 Cut      A Clutia
   24 Cbrae    A Combretaceae
   25 Cmi.b    A Commiphora boiviniana
   26 Cro      A Croton
   27 Dio      A Diospyros
   28 Don.v    A Dodonaea viscosa
   29 Dom      A Dombeya
   30 Drc.s    A Dracaena steudneri
   31 Eke      A Ekebergia
   32 Etd      A Entada
   33 Ercae    A Ericaceae
   34 Ecl      A Euclea
   35 Fic      A Ficus
   36 Gln.c    A Galiniera coffeoides
   37 Grc.v    A Garcinia volkensii
   38 Hag.a    A Hagenia abyssinica
   39 Hll.r    A Hallea rubrostipulata
   40 Hru      A Harungana
   41 Hmn      A Hymenocardia
   42 Hmd.f    A Hymenodictyon floribundum
   43 Ilx.m    A Ilex mitis
   44 Lan      A Lannea
   45 Lorae    A Loranthaceae
   46 Mca      A Macaranga
   47 Mae      A Maerua
   48 Mas.l    A Maesa lanceolata
   49 Mlaae    A Melastomataceae
   50 Morae.ud A Moraceae undiff.
   51 Mri.h    A Myrianthus holstii
   52 Myr      A Myrica
   53 Nu/Fi    A Nuxia/Ficalhoa
   54 Ole.c    A Olea capensis
   55 Ole.e.a  A Olea europea ssp. africana
   56 Pai      A Parinari
   57 Phx.r    A Phoenix reclinata
   58 Pod      A Podocarpus
   59 Pys.f    A Polyscias fulva
   60 Pra      A Protea
   61 Pru.af   A Prunus africana
   62 Rpa.m    A Rapanea melanophloeos
   63 Rhaae    A Rhamnaceae
   64 Rhu      A Rhus
   65 Spm.e    A Sapium ellipticum
   66 Sptae.ud A Sapotaceae undiff.
   67 Sff.a    A Schefflera abyssinica
   68 Sff.m    A Schefflera myriantha
   69 Sen.m    A Senecio mannii
   70 Stc      A Sterculia
   71 Smh.g    A Symphonia globulifera
   72 Syz      A Syzygium
   73 Tcl      A Teclea
   74 Tet      A Tetrorchidium
   75 Tilae    A Tiliaceae
   76 Tod.a    A Toddalia asiatica
   77 Tre.o    A Trema orientalis
   78 Trl.m    A Trilepisium madagascariensis
   79 Uap.k    A Uapaca kirkiana
   80 Uap.ud   A Uapaca undiff.
   81 Znh.g    A Zanha golungensis
   82 Zan.c    A Zanthoxylum chalybeum
   83 Zan.u    A Zanthoxylum usambarense
   84 Acl      B Acalypha
   85 Aca      B Acanthus
   86 Ahy.a    B Achyranthes aspera
   87 Aec.b    B Aeschynomene baumii
   88 Aid.m    B Aidia micrantha
   89 Alh      B Alchemilla
   90 Agl      B Anagallis
   91 Atm      B Anthospermum
   92 Apiae.ud B Apiaceae undiff.
   93 Art      B Artemisia
   94 Asc      B Ascolepis
   95 Astae.Au B Asteraceae subf. Asteroideae undiff.
   96 Astae.La B Asteraceae tribe Lactuceae
   97 Astae.Ve B Asteraceae tribe Vernonieae
   98 Beg      B Begonia
   99 Braae    B Brassicaceae
  100 Cdu      B Carduus
  101 Cryae.ud B Caryophyllaceae undiff.
  102 Csa.t    B Celosia trigyna
  103 Crs.a    B Cerastium afromontanum
  104 Crs.o    B Cerastium octandrum
  105 Cheae    B Chenopodiaceae
  106 Ch/Am.ud B Chenopodiaceae/Amaranthaceae undiff.
  107 Clm      B Clematis
  108 Cmm.b    B Commelina benghalensis
  109 Csm.m    B Crassocephalum montuosum
  110 Cucae    B Cucurbitaceae
  111 Cypae.ud B Cyperaceae undiff.
  112 Dipae    B Dipsacaceae
  113 Eup      B Euphorbia
  114 Fabae.ud B Fabaceae undiff.
  115 Flb.p    B Flabellaria paniculata
  116 Ger      B Geranium
  117 Hyp      B Hypericum
  118 Hpo      B Hypoestes
  119 Imp      B Impatiens
  120 Ipo      B Ipomoea
  121 Isg      B Isoglossa
  122 Jsm      B Jasminum
  123 Jus.s    B Justicia striata
  124 Kot      B Kotschya
  125 Lamae.ud B Lamiaceae undiff.
  126 Lap.a    B Laportea aestuans
  127 Lrm.t    B Laurembergia tetrandra
  128 Leu      B Leucas
  129 Lob      B Lobelia
  130 Lyt      B Lythrum
  131 Mgt.d    B Margaritaria discoidea
  132 Mml      B Mimulopsis
  133 Old      B Oldenlandia
  134 Phy.n    B Phyllanthus niruri
  135 Phy.v    B Phyllanthus rivae
  136 Pil.b    B Pilea bambuseti
  137 Pln.af   B Plantago africana
  138 Poaae    B Poaceae
  139 Plg      B Polygala
  140 Pol.ne   B Polygonum nepalense
  141 Pol.se   B Polygonum senegalense
  142 Ran      B Ranunculus
  143 Resae    B Resedaceae
  144 Rcn.c    B Ricinus communis
  145 Rub      B Rubia
  146 Rubae.ud B Rubiaceae undiff.
  147 Rbs.pi   B Rubus pinnatus
  148 Rum      B Rumex
  149 Sba.b    B Sebaea brachyphylla
  150 Sga.v    B Securinega virosa
  151 Srs.s    B Sericostachys scandens
  152 Sil.b    B Silene burchellii
  153 Smt.e    B Smithia elliotii
  154 Sol      B Solanum
  155 Spe      B Spermacoce
  156 Ste.m    B Stellaria mannii
  157 Stn.a    B Stephania abyssinica
  158 Swe.u    B Swertia usambarensis
  159 Tha      B Thalictrum
  160 Thyae    B Thymelaeaceae
  161 Tlc.f    B Tiliacora funifera
  162 Ueb.a    B Uebelinia abyssinica
  163 Urtae.ud B Urticaceae undiff.
  164 Van.a    B Vangueria acutiloba
  165 Vig.l    B Vigna luteola
  166 Vrc      B Virectaria
  167 Xyr      B Xyris
  168 Osu.r    F Osmunda regalis
  169 Antae    M Anthocerotaceae
  170 Spg      M Sphagnum
  171 Dro      Q Drosera
  172 Eriae    Q Eriocaulaceae
  173 Hyc      Q Hydrocotyle
  174 Pot.t    Q Potamogeton thunbergii
  175 Typ      Q Typha
  176 sp.m     S Spore (monolete)
  177 sp.t     S Spore (trilete)
  178 ind      X Indeterminable
  179 Lilda.ud X Liliopsida undiff.
55, , 796
     0.0     0.0     0.0     0.0     1.0     0.0     0.0     1.0     1.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     2.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.0     0.0     0.0
     0.0     0.0     1.0     0.0     0.0     1.0     0.0     2.0     0.0     0.0
     2.0     0.0     0.0     0.0     0.0    10.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     2.0     0.0     0.0     0.0     1.0     2.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     1.0     0.0     0.0     0.0
     0.0     0.0     1.0    15.0     0.0     1.0     0.0     0.0     0.0     0.0
     0.0     4.0     1.0     0.0     7.0     1.0     2.0     1.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     1.0     0.0     0.0     0.0
   167.0     0.0     0.0     2.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     5.0     0.0     0.0    59.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     1.0     0.0    83.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     2.0     1.0     2.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     6.0     0.0     0.0     0.0     1.0    17.0    24.0     1.0
     0.0     0.0     0.0     4.0     0.0    98.0    12.0     2.0     2.0
65, , 857
     0.0     1.0     0.0     0.0     0.0     0.0     0.0     1.0     1.0     0.0
     0.0     0.0     1.0     0.0     0.0     0.0     2.0     0.0     2.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     4.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     2.0     0.0     0.0     0.0    10.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     1.0     0.0     0.0     0.0
     0.0     0.0     0.0    21.0     0.0     0.0     0.0     0.0     1.0     0.0
     0.0     6.0     0.0     0.0    13.0     0.0     5.0     0.0     0.0     1.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
   147.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     1.0     1.0     0.0    77.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0   111.0     0.0     0.0
     0.0     0.0     1.0     0.0     0.0     1.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     5.0     0.0     0.0     1.0    12.0    21.0    30.0    11.0
     0.0     0.0     0.0     0.0     0.0    94.0     8.0     0.0     0.0
75, , 918
