# GPD ASCII Format
# 24 Apr 00
# Raw Counts - All Pollen Types
#
# ****************************************************************
# ** Please acknowledge the contributors and the North American **
# ** Pollen Database when using these data.                     **
# ****************************************************************
#
# Site name:      Tom Swamp
# Place:          USA:Massachusetts
# Latitude:       42.31.00N      (  42.516667)
# Longitude:      72.12.45W      ( -72.2125  )
# Elevation(m):   231
# Sigle:          TOMSWAMP
# Entity name:
# Contact person: Webb, T. III
#
# Radiocarbon dates:
#   Depth   Thk     Age   SDup   SDlo  Lab no.    Basis  Material
#   206.5     7    4850     70     70  WIS-1421     G
#   338.0     4    6080     80     80  WIS-1323     G    herbaceous peat
#   467.0     4    6920     80     80  WIS-1321     G    herbaceous peat
#   567.0     4    7280     80     80  WIS-1322     G    herbaceous peat
#   670.0     6    9280    100    100  WIS-1211     G    gyttja
#   770.0     5   10080    100    100  WIS-1212     G    gyttja
#   870.0     8   11580    110    110  WIS-1214     G    gyttja
#   960.0    10   12830    120    120  WIS-1210     G    organic clay
#
# Chron name:     COHMAP chron# 1
# Age model:      linear interpolation
# Age bounds:     200 - 13850
# Chron notes:    8 C-14 dates (top to bottom: WIS1421, WIS1323, WIS1321,
#                 WIS1322, WIS1211, WIS1212, WIS1214, WIS1210 ). Top date is
#                 stratigraphic based on Ambrosia rise at 25cm (0 to 8.9%;
#                 sum= t+ s+ h). Age bounds for application of the model: top
#                 = 9000; bottom = 13000.
#
# Age basis:
#   Depth   Thk     Age  AgeUp  AgeLo  RCode
#    25.0     0     200    250    150   AMR
#   206.5     7    4850   4920   4780   C14
#   338.0     4    6080   6160   6000   C14
#   467.0     4    6920   7000   6840   C14
#   567.0     4    7280   7360   7200   C14
#   670.0     6    9280   9380   9180   C14
#   770.0     5   10080  10180   9980   C14
#   870.0     8   11580  11690  11470   C14
#   960.0    10   12830  12950  12710   C14
#
# Publications:   Davis, M.B. 1958. Three pollen diagrams from central
#                 Massachusetts. American Journal of Science 256:540-570.
#
#                 Steventon, R.L., and J.E. Kutzbach. 1983. University of
#                 Wisconsin radiocarbon dates XX. Radiocarbon 25:152-168.
#
#                 Gaudreau, D.C. 1986. Late-Quaternary vegetational history of
#                 the northeast: paleoecological implications of topographic
#                 patterns in pollen distributions. Dissertation. Yale
#                 University, New Haven, Connecticut, USA.
#
#                 Steventon, R.L., and J.E. Kutzbach. 1984. University of
#                 Wisconsin radiocarbon dates XXI. Radiocarbon 26:135-147.
#
#                 Bender, M.M., D.A. Baerreis, R.A. Bryson, and R.L.
#                 Steventon. 1982. University of Wisconsin radiocarbon dates
#                 XIX. Radiocarbon 24:83-100.
#
111 38
    1 Abi      A Abies
    2 Ace.ru   A Acer rubrum
    3 Ace.sc-t A Acer saccharinum-type
    4 Ace.sa-t A Acer saccharum-type
    5 Ace.sp   A Acer spicatum
    6 Ace.ud   A Acer undiff.
    7 Aln      A Alnus
    8 Arc      A Arceuthobium
    9 Bet      A Betula
   10 Car      A Carya
   11 Cas      A Castanea
   12 Cep      A Cephalanthus
   13 Crn      A Cornus
   14 Cor      A Corylus
   15 Crt-t    A Crataegus-type
   16 Cupae    A Cupressaceae
   17 Ercae    A Ericaceae
   18 Fag      A Fagus
   19 Fra.c4   A Fraxinus (tetracolpate)
   20 Fra.c3   A Fraxinus (tricolpate)
   21 Ilx      A Ilex
   22 Jug.c    A Juglans cinerea
   23 Jug.n    A Juglans nigra
   24 Lar      A Larix
   25 Liq      A Liquidambar
   26 Mor      A Morus
   27 Myr      A Myrica
   28 Nys      A Nyssa
   29 Os/Ca    A Ostrya/Carpinus
   30 Pic      A Picea
   31 Pin.Pi   A Pinus subg. Pinus
   32 Pin.St   A Pinus subg. Strobus
   33 Pin.ud   A Pinus undiff.
   34 Pla      A Platanus
   35 Pop      A Populus
   36 Que      A Quercus
   37 Rh/Vi.ud A Rhamnaceae/Vitaceae undiff.
   38 Rhu      A Rhus
   39 Rib      A Ribes
   40 Slx      A Salix
   41 Sam      A Sambucus
   42 She      A Shepherdia
   43 Txs      A Taxus
   44 Til      A Tilia
   45 Tsu      A Tsuga
   46 Ulm      A Ulmus
   47 Vib      A Viburnum
   48 Vit      A Vitis
   49 Amb-t    B Ambrosia-type
   50 Apiae    B Apiaceae
   51 Art      B Artemisia
   52 Astae.Au B Asteraceae subf. Asteroideae undiff.
   53 Astae.Ci B Asteraceae subf. Cichorioideae
   54 Borae    B Boraginaceae
   55 Braae    B Brassicaceae
   56 Camae    B Campanulaceae
   57 Canae    B Cannabaceae
   58 Cryae    B Caryophyllaceae
   59 Ch/Am.ud B Chenopodiaceae/Amaranthaceae undiff.
   60 Cus      B Cuscuta
   61 Cypae    B Cyperaceae
   62 Dry-t    B Dryas-type
   63 Fabae    B Fabaceae
   64 Gal      B Galium
   65 Imp      B Impatiens
   66 Iva.a-t  B Iva annua-type
   67 Iva.ud   B Iva undiff.
   68 Iva.x-t  B Iva xanthifolia-type
   69 Lilae    B Liliaceae
   70 Lyp-t    B Lycopus-type
   71 Prn      B Parnassia
   72 Poaae    B Poaceae
   73 Pol      B Polygonum
   74 Ptl-t    B Potentilla-type
   75 Ranae.ud B Ranunculaceae undiff.
   76 Rosae.ud B Rosaceae undiff.
   77 Rum      B Rumex
   78 Sal      B Salsola
   79 Sax-t    B Saxifraga-type
