# GPD ASCII Format
# 24 Apr 00
# Raw Counts - All Pollen Types
#
# ****************************************************************
# ** Please acknowledge the contributors and the North American **
# ** Pollen Database when using these data.                     **
# ****************************************************************
#
# Site name:      Winneconnet Pond
# Place:          USA:Massachusetts
# Latitude:       41.58.00N      (  41.966667)
# Longitude:      71.07.00W      ( -71.116667)
# Elevation(m):   20
# Sigle:          WINNE
# Entity name:
# Contact person: Suter, S.M.
#
# Radiocarbon dates:
#   Depth   Thk     Age   SDup   SDlo  Lab no.    Basis  Material
#    83.5          2800     70     70
#   153.0          3480     70     70
#   183.5          3620     80     80
#   287.0          4020     70     70
#   382.5          4910     80     80
#   521.5          6520     80     80
#   583.5          8930     90     90
#   652.5          9710    100    100
#   779.5         10820    100    100
#   861.5         11860    120    120
#   886.5         12340    120    120
#   952.5         13360    110    110
#
# Chron name:     COHMAP chron# 1
# Age model:      linear interpolation
# Age bounds:     0 - 13360
# Chron notes:    12 C-14 dates. Ambrosia rise at 15 cm is only 2%. Age bounds
#                 for application of the model: top = 0; bottom = 13360.
#
# Age basis:
#   Depth   Thk     Age  AgeUp  AgeLo  RCode
#     0.0             0     20    -20   TOP
#    83.5          2800   2870   2730   C14
#   153.0          3480   3550   3410   C14
#   183.5          3620   3700   3540   C14
#   287.0          4020   4090   3950   C14
#   382.5          4910   4990   4830   C14
#   521.5          6520   6600   6440   C14
#   583.5          8930   9020   8840   C14
#   652.5          9710   9810   9610   C14
#   779.5         10820  10920  10720   C14
#   861.5         11860  11980  11740   C14
#   886.5         12340  12460  12220   C14
#   952.5         13360  13470  13250   C14
#
# Publications:   Suter, S.M. 1985. Late-glacial and Holocene vegetation
#                 history in southeastern Massachusetts: a 14,000 year pollen
#                 record. Current Research in the Pleistocene 2:87-89.
#
102 70
    1 Abi      A Abies
    2 Ace.ne   A Acer negundo
    3 Ace.ru   A Acer rubrum
    4 Ace.sc-t A Acer saccharinum-type
    5 Ace.sa-t A Acer saccharum-type
    6 Ace.ud   A Acer undiff.
    7 Aln      A Alnus
    8 Bet      A Betula
    9 Car      A Carya
   10 Cas      A Castanea
   11 Cel      A Celtis
   12 Cep      A Cephalanthus
   13 Crn      A Cornus
   14 Cor      A Corylus
   15 Cupae    A Cupressaceae
   16 Ercae    A Ericaceae
   17 Fag      A Fagus
   18 Fra.c4   A Fraxinus (tetracolpate)
   19 Fra.c3   A Fraxinus (tricolpate)
   20 Ilx      A Ilex
   21 Jug.c    A Juglans cinerea
   22 Jug.n    A Juglans nigra
   23 Lar      A Larix
   24 Liq      A Liquidambar
   25 Mor      A Morus
   26 Myr      A Myrica
   27 Nys      A Nyssa
   28 Os/Ca    A Ostrya/Carpinus
   29 Prt      A Parthenocissus
   30 Pic      A Picea
   31 Pin.Pi   A Pinus subg. Pinus
   32 Pin.St   A Pinus subg. Strobus
   33 Pin.ud   A Pinus undiff.
   34 Pla      A Platanus
   35 Pop      A Populus
   36 Que      A Quercus
   37 Rh/Vi.ud A Rhamnaceae/Vitaceae undiff.
   38 Rhu      A Rhus
   39 Slx      A Salix
   40 Sam      A Sambucus
   41 Til      A Tilia
   42 Tsu      A Tsuga
   43 Ulm      A Ulmus
   44 Vib      A Viburnum
   45 Amb-t    B Ambrosia-type
   46 Apiae    B Apiaceae
   47 Art      B Artemisia
   48 Astae.Au B Asteraceae subf. Asteroideae undiff.
   49 Braae    B Brassicaceae
   50 Camae    B Campanulaceae
   51 Canae    B Cannabaceae
   52 Cryae    B Caryophyllaceae
   53 Ch/Am    B Chenopodiaceae/Amaranthaceae
   54 Cypae    B Cyperaceae
   55 Fabae    B Fabaceae
   56 Gal      B Galium
   57 Genae    B Gentianaceae
   58 Iva.a-t  B Iva annua-type
   59 Iva.x-t  B Iva xanthifolia-type
   60 Lamae    B Lamiaceae
   61 Prn      B Parnassia
   62 Pln      B Plantago
   63 Poaae    B Poaceae
   64 Polae.ud B Polygonaceae undiff.
   65 Pol      B Polygonum
   66 Priae    B Primulaceae
   67 Pr/So    B Prunus/Sorbus
   68 Ranae.ud B Ranunculaceae undiff.
   69 Ran      B Ranunculus
   70 Rosae.ud B Rosaceae undiff.
   71 Rum      B Rumex
   72 Sax-t    B Saxifraga-type
   73 Solae    B Solanaceae
   74 Tha      B Thalictrum
   75 Ath      F Athyrium
   76 Bot      F Botrychium
   77 Drp-t    F Dryopteris-type
   78 Equ      F Equisetum
   79 Lyc-t    F Lycopodium-type
   80 Osu      F Osmunda
   81 Ptr-t    F Pteridium-type
   82 Woo      F Woodsia
   83 Spg      M Sphagnum
   84 Cal      Q Caltha
   85 Dec.v    Q Decodon verticillatus
   86 Iso      Q Isoëtes
   87 Myp      Q Myriophyllum
   88 Nup      Q Nuphar
   89 Nym      Q Nymphaea
   90 Pot      Q Potamogeton
   91 Sag      Q Sagittaria
   92 Spa-t    Q Sparganium-type
   93 Typ.l    Q Typha latifolia
   94 sp.m     S Spore (monolete)
   95 sp.t     S Spore (trilete)
   96 sp.ud    S Spore undiff.
   97 ind      X Indeterminable
   98 unk      X Unknown
   99 Euc.spik - Eucalyptus spike (number counted)
  100 Euc.ta.n - Eucalyptus tablets (added, number)
  101 EucCn/t  - Eucalyptus tablets (concentration, grains/tablet)
  102 sa.vo.ml - Sample volume (ml)
1, , 33
     2.0     0.0     0.0     0.0     0.0     1.0    62.0    32.0     2.0     2.0
     0.0     5.0     0.0     2.0     5.0     0.0     5.0     0.0     0.0     2.0
     1.0     0.0     0.0     0.0     0.0     2.0     0.0     0.0     0.0     3.0
     0.0     0.0    18.0     1.0     6.0    38.0     1.0     1.0     0.0     0.0
     0.0     3.0     1.0     2.0     5.0     0.0     0.0     4.0     0.0     0.0
     0.0     0.0     0.0     2.0     0.0     0.0     1.0     0.0     0.0     0.0
     0.0     1.0    22.0     0.0     0.0     0.0     0.0     0.0     1.0     2.0
     3.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     7.0     0.0     0.0     0.0     2.0
     0.0     0.0     2.0     2.0     3.0     0.0    12.0     3.0   116.0     5.0
 16180.0      .5
5, , 168
     0.0     0.0     0.0     0.0     0.0     1.0    75.0    21.0     8.0     2.0
     0.0     6.0     0.0     1.0     2.0     0.0     7.0     1.0     1.0     7.0
     0.0     0.0     0.0     0.0     0.0     1.0     1.0     0.0     0.0     3.0
     1.0     3.0    22.0     1.0     1.0    52.0     0.0     0.0     0.0     0.0
     0.0     4.0     2.0     2.0     8.0     0.0     1.0     7.0     0.0     0.0
     0.0     1.0     0.0     7.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0    22.0     0.0     1.0     0.0     0.0     0.0     0.0     0.0
     8.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     2.0
     1.0     0.0     3.0     0.0     0.0     3.0     0.0     0.0     0.0     0.0
     0.0     1.0     2.0    10.0     1.0     0.0    33.0     2.0   144.0     5.0
 16180.0      .5
10, , 337
     1.0     0.0     1.0     0.0     1.0     1.0   135.0    42.0     8.0     1.0
     0.0     5.0     0.0     0.0     3.0     2.0    11.0     2.0     0.0     1.0
     0.0     0.0     0.0     0.0     0.0     2.0     2.0     4.0     0.0     4.0
     0.0     0.0    48.0     0.0     4.0    85.0     2.0     0.0     0.0     0.0
     0.0     5.0     5.0     2.0     6.0     1.0     0.0    15.0     1.0     0.0
     0.0     0.0     0.0     4.0     0.0     1.0     0.0     0.0     0.0     0.0
     0.0     0.0    42.0     0.0     1.0     0.0     0.0     0.0     0.0     1.0
    11.0     0.0     2.0     0.0     0.0     0.0     0.0     0.0     0.0     2.0
     0.0     0.0     1.0     0.0     0.0     7.0     0.0     1.0     0.0     0.0
     0.0     1.0     0.0     2.0    14.0     3.0    38.0     5.0   205.0     5.0
 16180.0      .5
15, , 506
     1.0     0.0     1.0     0.0     0.0     1.0    54.0    13.0     4.0     1.0
     0.0     4.0     0.0     0.0     3.0     1.0     4.0     1.0     0.0     3.0
     0.0     0.0     0.0     0.0     1.0     0.0     1.0     0.0     0.0     2.0
     0.0     2.0    10.0     0.0     2.0    34.0     0.0     0.0     0.0     0.0
     0.0     5.0     3.0     2.0     2.0     0.0     1.0    10.0     0.0     0.0
     0.0     0.0     0.0     2.0     0.0     0.0     0.0     0.0     0.0     1.0
     0.0     0.0    18.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     4.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.0
     4.0     0.0     2.0     0.0     0.0     3.0     0.0     0.0     0.0     0.0
     0.0     1.0     0.0    14.0     0.0     0.0    26.0     1.0   119.0     5.0
 16180.0      .5
19.5, , 640
     1.0     0.0     3.0     0.0     1.0     3.0    61.0    23.0     5.0     3.0
     0.0     1.0     0.0     0.0     2.0     0.0     5.0     3.0     1.0     6.0
     1.0     0.0     0.0     0.0     0.0     0.0     1.0     0.0     0.0     2.0
     0.0     0.0     9.0     0.0     3.0    63.0     0.0     0.0     1.0     0.0
     0.0     3.0     3.0     2.0     0.0     0.0     0.0     4.0     0.0     0.0
     0.0     0.0     0.0     5.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0    22.0     0.0     0.0     0.0     0.0     0.0     0.0     1.0
     0.0     0.0     1.0     1.0     0.0     0.0     0.0     0.0     0.0     2.0
     0.0     0.0     0.0     0.0     0.0     3.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0    25.0     3.0    84.0     5.0
 16180.0      .5
30, , 1012
     0.0     0.0     1.0     0.0     1.0     3.0   139.0    42.0     7.0     0.0
     0.0     3.0     0.0     0.0     5.0     2.0    25.0     3.0     2.0     6.0
     2.0     0.0     0.0     0.0     0.0     0.0     3.0     1.0     0.0     1.0
     0.0     0.0    22.0     1.0     1.0   128.0     1.0     0.0     0.0     0.0
     0.0     6.0     5.0     2.0     0.0     1.0     0.0    12.0     0.0     0.0
     1.0     1.0     0.0     7.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0    34.0     0.0     0.0     0.0     0.0     0.0     0.0     2.0
     1.0     0.0     0.0     2.0     0.0     0.0     0.0     0.0     1.0     2.0
     0.0     0.0     1.0     0.0     0.0     5.0     0.0     0.0     3.0     0.0
     1.0     1.0     1.0     3.0     3.0     0.0    27.0     3.0   170.0     5.0
 16180.0      .5
40, , 1349
     1.0     0.0     1.0     1.0     2.0     3.0    80.0    17.0     4.0     0.0
     0.0     7.0     0.0     1.0     4.0     1.0     7.0     5.0     0.0     3.0
     0.0     0.0     0.0     0.0     0.0     0.0     1.0     4.0     0.0     1.0
     0.0     0.0    10.0     2.0     3.0    62.0     0.0     0.0     0.0     0.0
     0.0     5.0     2.0     0.0     0.0     0.0     2.0     7.0     0.0     0.0
     0.0     1.0     0.0     2.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0    31.0     0.0     0.0     0.0     0.0     0.0     0.0     1.0
     0.0     0.0     0.0     2.0     0.0     0.0     0.0     0.0     0.0     0.0
     1.0     0.0     2.0     0.0     0.0     1.0     0.0     0.0     0.0     0.0
     0.0     2.0     0.0     0.0     0.0     0.0    22.0     2.0   131.0     5.0
 16180.0      .5
50, , 1686
     0.0     0.0     1.0     0.0     0.0     0.0    65.0    13.0     3.0     0.0
     0.0     0.0     0.0     0.0     3.0     0.0     7.0     0.0     3.0     4.0
